C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:01

maintype = G & redshift >0 & Distance.distance <  40 & Distance.distance  >= 30 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 664

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
172;UGC 4559                           ;G  ;2083        ;0.006972    ;2090.29     ;    1;   36.81    Mpc ;  -1.99       +1.99    ;T-F     ;2020ApJ...902..145K
173;UGC 4540                           ;G  ;2047        ;0.006852    ;2054.04     ;    1;   32.93    Mpc ;  -2.64       +2.64    ;redshift;2015ApJ...809..146B
174;LEDA 1331483                       ;G  ;2006        ;0.006714    ;2012.76     ;    1;   31.77    Mpc ;  -2.72       +2.72    ;redshift;2015ApJ...809..146B
175;UGC 4524                           ;G  ;1946        ;0.006513    ;1952.55     ;    1;   27.54    Mpc ;  -2.11       +2.11    ;T-F     ;2020ApJ...902..145K
176;ESO 432-2                          ;G  ;2756.0      ;0.009236    ;2768.79     ;    1;   45.08    Mpc ;  -2.43       +2.43    ;T-F     ;2020ApJ...902..145K
177;LEDA 86862                         ;G  ;2362        ;0.00791     ;2371.4      ;    1;   36.62    Mpc ;  -2.04       +2.04    ;redshift;2015ApJ...809..146B
178;LEDA 1745706                       ;G  ;2449        ;0.008203    ;2459.09     ;    1;   39.26    Mpc ;  -4.42       +4.42    ;T-F     ;2020ApJ...902..145K
179;UGC 4712                           ;G  ;2015        ;0.006744    ;2021.82     ;    1;   38.90    Mpc ;  -3.15       +3.15    ;T-F     ;2020ApJ...902..145K
180;MCG-01-23-002                      ;G  ;2852.2      ;0.009560    ;2865.90     ;    1;   40.93    Mpc ;  -5.53       +5.53    ;T-F     ;2020ApJ...902..145K
181;LEDA 92244                         ;G  ;3231        ;0.010836    ;3248.60     ;    1;   31.05    Mpc ;                       ;        ;2016AJ....152...50T
182;ESO 563-26                         ;G  ;3404        ;0.011420    ;3423.55     ;    1;   39.81    Mpc ;  -7.52       +7.52    ;T-F     ;2020ApJ...902..145K
183;NGC 2717                           ;G  ;2567        ;0.00860     ;2578.0      ;    1;   29.65    Mpc ;                       ;        ;2016AJ....152...50T
184;ESO 432-13                         ;G  ;2112.8      ;0.007073    ;2120.30     ;    1;   35.97    Mpc ;  -6.96       +6.96    ;T-F     ;2020ApJ...902..145K
185;ESO 371-24                         ;G  ;2269.5      ;0.007599    ;2278.16     ;    1;   34.36    Mpc ;  -4.33       +4.33    ;T-F     ;2020ApJ...902..145K
186;ESO 291-24                         ;G  ;1677.0      ;0.005610    ;1681.72     ;    1;   23.66    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
187;ESO 403-24                         ;G  ;2609        ;0.008741    ;2620.45     ;    1;   34.67    Mpc ;  -9.21       +9.21    ;T-F     ;2020ApJ...902..145K
188;ESO 404-3                          ;G  ;2360.6      ;0.007905    ;2369.97     ;    1;   34.04    Mpc ;  -5.06       +5.06    ;T-F     ;2020ApJ...902..145K
189;ESO 346-1                          ;G  ;2334        ;0.007816    ;2343.16     ;    1;   37.33    Mpc ;  -4.03       +4.03    ;T-F     ;2020ApJ...902..145K
190;ESO 346-14                         ;G  ;2700.5      ;0.009049    ;2712.77     ;    1;   31.77    Mpc ;  -4.00       +4.00    ;T-F     ;2020ApJ...902..145K
191;ESO 405-14                         ;G  ;2686        ;0.0090      ;2698        ;    1;   36.8378  Mpc ;                       ;redshift;2019A&A...631A..38L
192;ESO 405-13                         ;G  ;3434        ;0.011521    ;3453.89     ;    1;   38.73    Mpc ; -10.28      +10.28    ;T-F     ;2020ApJ...902..145K
193;ESO 406-23                         ;G  ;2874.2      ;0.009634    ;2888.11     ;    1;   36       Mpc ;  -6          +7       ;T-F     ;2008ApJ...676..184T
194;ESO 347-29                         ;G  ;1572.9      ;0.005260    ;1577.05     ;    1;   26.79    Mpc ;  -3.98       +3.98    ;T-F     ;2020ApJ...902..145K
195;ESO 411-18                         ;G  ;1713.5      ;0.005732    ;1718.42     ;    1;   34.51    Mpc ;  -7.14       +7.14    ;T-F     ;2020ApJ...902..145K
196;ESO 532-32                         ;G  ;2654        ;0.008892    ;2665.85     ;    1;   38.02    Mpc ;                       ;        ;2016AJ....152...50T
197;ESO 468-6                          ;G  ;10874       ;0.036954    ;11078.56    ;    1;   36       Mpc ;                       ;        ;2007ApJS..173..185G
198;ESO 469-8                          ;G  ;1760        ;0.005888    ;1765.20     ;    1;   42.66    Mpc ;  -9.98       +9.98    ;T-F     ;2020ApJ...902..145K
199;NGC 7167                           ;G  ;2563.7      ;0.008588    ;2574.76     ;    1;   35       Mpc ;                       ;        ;2007ApJS..173..185G
200;NGC 7247                           ;G  ;2475        ;0.008290    ;2485.30     ;    1;   34.51    Mpc ;  -5.75       +5.75    ;T-F     ;2020ApJ...902..145K
201;ESO 477-16                         ;G  ;1819.9      ;0.006089    ;1825.46     ;    1;   38.73    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
202;NGC 7184                           ;G  ;2623        ;0.008788    ;2634.58     ;    1;   30.20    Mpc ;  -1.77       +1.77    ;T-F     ;2020ApJ...902..145K
203;NGC 172                            ;G  ;3052.3      ;0.010234    ;3068.00     ;    1;   38.02    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
204;ESO 601-25                         ;G  ;1726.8      ;0.005777    ;1731.80     ;    1;   20.89    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
205;ESO 602-15                         ;G  ;2682.1      ;0.008987    ;2694.21     ;    1;   38.19    Mpc ;  -7.39       +7.39    ;T-F     ;2020ApJ...902..145K
206;ESO 605-15                         ;G  ;1548.3      ;0.005178    ;1552.32     ;    1;   30.06    Mpc ;                       ;        ;2016AJ....152...50T
207;2MASX J00400555-2003494            ;G  ;3886        ;0.013047    ;3911.52     ;    1;   38.73    Mpc ; -12.02      +12.02    ;T-F     ;2020ApJ...902..145K
208;ESO 603-31                         ;G  ;2267        ;0.007591    ;2275.64     ;    1;   38.73    Mpc ;  -7.49       +7.49    ;T-F     ;2020ApJ...902..145K
209;ESO 606-7                          ;G  ;1786.9      ;0.005978    ;1792.26     ;    1;   35.32    Mpc ;  -6.99       +6.99    ;T-F     ;2020ApJ...902..145K
210;ESO 540-16                         ;G  ;1558.6      ;0.005213    ;1562.67     ;    1;   24.77    Mpc ;  -1.90       +1.90    ;T-F     ;2020ApJ...902..145K
211;NGC 336                            ;G  ;2013.0      ;0.006737    ;2019.80     ;    1;   30.76    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
212;6dFGS gJ023705.9-133520            ;G  ;4416        ;0.014840    ;4449.01     ;    1;   36.31    Mpc ;  -6.54       +6.54    ;T-F     ;2020ApJ...902..145K
213;MCG-02-58-003                      ;G  ;2593.2      ;0.008688    ;2604.51     ;    1;   26.79    Mpc ;  -2.41       +2.41    ;T-F     ;2020ApJ...902..145K
214;MCG-03-59-001                      ;G  ;2103.9      ;0.007043    ;2111.33     ;    1;   24.89    Mpc ;  -3.70       +3.70    ;T-F     ;2020ApJ...902..145K
215;MCG-02-60-013                      ;G  ;1932.8      ;0.006468    ;1939.07     ;    1;   39.63    Mpc ;  -8.20       +8.20    ;T-F     ;2020ApJ...902..145K
216;UGCA 22                            ;G  ;1860.4      ;0.006225    ;1866.21     ;    1;   24.66    Mpc ;  -2.66       +2.66    ;T-F     ;2020ApJ...902..145K
217;NGC 811                            ;G  ;1913.9      ;0.006405    ;1920.05     ;    1;   39.81    Mpc ;  -5.37       +5.37    ;T-F     ;2020ApJ...902..145K
218;MCG-01-54-011                      ;G  ;2736.1      ;0.009169    ;2748.70     ;    1;   39       Mpc ;                       ;        ;2007ApJS..173..185G
219;MCG-01-60-016                      ;G  ;2050.9      ;0.006865    ;2057.96     ;    1;   27.80    Mpc ;  -3.38       +3.38    ;T-F     ;2020ApJ...902..145K
220;NGC 894                            ;G  ;2290        ;0.007668    ;2298.81     ;    1;   31.19    Mpc ;  -5.19       +5.19    ;T-F     ;2020ApJ...902..145K
221;LEDA 1043477                       ;G  ;2389        ;0.008       ;2398        ;    1;   31.9     Mpc ;                       ;        ;2007ApJ...661..801O
222;LEDA 9103                          ;G  ;2274.6      ;0.007616    ;2283.29     ;    1;   31.6     Mpc ;                       ;        ;2007ApJ...661..801O
223;MCG-01-54-016                      ;G  ;2903.4      ;0.009732    ;2917.60     ;    1;   37.67    Mpc ;  -3.56       +3.56    ;T-F     ;2020ApJ...902..145K
224;MCG-01-07-001                      ;G  ;2320        ;0.00777     ;2329.4      ;    1;   30.5025  Mpc ;                       ;redshift;2019A&A...631A..38L
225;MCG+01-08-005                      ;G  ;3409        ;0.011437    ;3428.60     ;    1;   31.33    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
226;MCG-01-57-021                      ;G  ;2968        ;0.009950    ;2982.84     ;    1;   34.83    Mpc ;  -4.86       +4.86    ;T-F     ;2020ApJ...902..145K
227;NGC 7391                           ;G  ;3030        ;0.010160    ;3045.89     ;    1;   42.007   Mpc ;                       ;        ;2019MNRAS.490..718B
228;NGC 7693                           ;G  ;2567        ;0.008599    ;2577.92     ;    1;   35.4     Mpc ;                       ;redshift;2011MNRAS.413..813C
229;NGC 1015                           ;G  ;2625.7      ;0.008797    ;2637.30     ;    1;   36.3     Mpc ;                       ;redshift;2011MNRAS.413..813C
230;NGC 1090                           ;G  ;2769.1      ;0.009280    ;2782.01     ;    1;   29.51    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
231;NGC 1121                           ;G  ;2585        ;0.008659    ;2595.90     ;    1;   35.3     Mpc ;                       ;redshift;2011MNRAS.413..813C
232;NGC 7716                           ;G  ;2602.5      ;0.008719    ;2613.89     ;    1;   35.8000  Mpc ;                       ;redshift;2019A&A...631A..38L
233;UGC 12690                          ;G  ;2600.1      ;0.008711    ;2611.47     ;    1;   34.2000  Mpc ;                       ;redshift;2019A&A...631A..38L
234;UGC 12709                          ;G  ;2674        ;0.008960    ;2686.03     ;    1;   35.1000  Mpc ;                       ;redshift;2019A&A...631A..38L
235;UGC 12857                          ;G  ;2473.6      ;0.008285    ;2483.89     ;    1;   28.05    Mpc ;  -1.77       +1.77    ;T-F     ;2020ApJ...902..145K
236;UGC 320                            ;G  ;2373        ;0.007947    ;2382.47     ;    1;   33.11    Mpc ;  -2.53       +2.53    ;T-F     ;2020ApJ...902..145K
237;Z 383-30                           ;G  ;4123        ;0.01385     ;4152.1      ;    1;   37.15    Mpc ;                       ;        ;2016AJ....152...50T
238;LEDA 8784                          ;G  ;2753        ;0.009226    ;2765.76     ;    1;   39.84    Mpc ;  -2.32       +2.32    ;redshift;2015ApJ...809..146B
239;NGC 1032                           ;G  ;2676        ;0.008966    ;2687.94     ;    1;   37.4     Mpc ;                       ;redshift;2011MNRAS.413..813C
240;UGC 2429                           ;G  ;1769        ;0.005918    ;1774.25     ;    1;   31.48    Mpc ;  -2.41       +2.41    ;T-F     ;2020ApJ...902..145K
241;UGC 12054                          ;G  ;2046.8      ;0.006851    ;2053.84     ;    1;   32.96    Mpc ;  -2.22       +2.22    ;T-F     ;2020ApJ...902..145K
242;LEDA 91738                         ;G  ;4759        ;0.016002    ;4797.38     ;    1;   35.32    Mpc ;  -6.36       +6.36    ;T-F     ;2020ApJ...902..145K
243;UGC 12304                          ;G  ;3456        ;0.011595    ;3476.15     ;    1;   30.20    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
244;UGC 12497                          ;G  ;3764        ;0.012635    ;3787.93     ;    1;   28.71    Mpc ;  -2.20       +2.20    ;T-F     ;2020ApJ...902..145K
245;Z 406-82                           ;G  ;4020        ;0.013500    ;4047.32     ;    1;   40.55    Mpc ;  -5.29       +5.29    ;T-F     ;2020ApJ...902..145K
246;NGC 7604                           ;G  ;3753        ;0.012598    ;3776.79     ;    1;   49.20    Mpc ; -10.41      +10.41    ;T-F     ;2020ApJ...902..145K
247;Z 406-115                          ;G  ;3528        ;0.011838    ;3549.01     ;    1;   50.35    Mpc ;  -6.34       +6.34    ;T-F     ;2020ApJ...902..145K
248;UGC 1646                           ;G  ;3376        ;0.011325    ;3395.22     ;    1;   31.62    Mpc ;  -2.13       +2.13    ;T-F     ;2020ApJ...902..145K
249;NGC 7328                           ;G  ;2826        ;0.009471    ;2839.45     ;    1;   36.14    Mpc ;  -2.28       +2.28    ;T-F     ;2020ApJ...902..145K
250;Z 406-89                           ;G  ;3511        ;0.011781    ;3531.80     ;    1;   36.48    Mpc ; -11.00      +11.00    ;T-F     ;2020ApJ...902..145K
251;UGC 1050                           ;G  ;2393        ;0.008014    ;2402.63     ;    1;   35.65    Mpc ;  -2.89       +2.89    ;T-F     ;2020ApJ...902..145K
252;NGC 525                            ;G  ;2138        ;0.007158    ;2145.91     ;    1;   30.7     Mpc ;                       ;redshift;2011MNRAS.413..813C
253;NGC 7347                           ;G  ;2233        ;0.007476    ;2241.38     ;    1;   34.04    Mpc ;  -2.14       +2.14    ;T-F     ;2020ApJ...902..145K
254;UGC 12300                          ;G  ;2367        ;0.007927    ;2376.42     ;    1;   33.6     Mpc ;                       ;redshift;2011MNRAS.413..813C
255;Mrk 528                            ;G  ;2678        ;0.008973    ;2690.07     ;    1;   31.33    Mpc ;  -2.26       +2.26    ;T-F     ;2020ApJ...902..145K
256;Z 431-67                           ;G  ;3770        ;0.012655    ;3794.01     ;    1;   39.08    Mpc ;  -4.57       +4.57    ;T-F     ;2020ApJ...902..145K
257;IC 1508                            ;G  ;4261        ;0.014316    ;4291.72     ;    1;   39.99    Mpc ;  -2.34       +2.34    ;T-F     ;2020ApJ...902..145K
258;UGC 521                            ;G  ;698         ;0.00233     ;698.5       ;    1;   11.30    Mpc ;                       ;T-F     ;2011ApJS..192....6L
259;NGC 658                            ;G  ;2980        ;0.009990    ;2994.96     ;    1;   38.73    Mpc ;  -3.14       +3.14    ;T-F     ;2020ApJ...902..145K
260;UGC 12308                          ;G  ;2221        ;0.007436    ;2229.29     ;    1;   32.66    Mpc ;  -2.06       +2.06    ;T-F     ;2020ApJ...902..145K
261;Mrk 343                            ;G  ;5298        ;0.01783     ;5345.3      ;    1;   38.73    Mpc ;                       ;        ;2016AJ....152...50T
262;UGC 1211                           ;G  ;2404        ;0.008051    ;2413.72     ;    1;   41.69    Mpc ;  -4.69       +4.69    ;T-F     ;2020ApJ...902..145K
263;UGC 2148                           ;G  ;3553        ;0.011923    ;3574.31     ;    1;   27.42    Mpc ;  -3.08       +3.08    ;T-F     ;2020ApJ...902..145K
264;UGC 12049                          ;G  ;2964        ;0.009936    ;2978.80     ;    1;   37.84    Mpc ;  -3.58       +3.58    ;T-F     ;2020ApJ...902..145K
265;IC 5284                            ;G  ;3898        ;0.013088    ;3923.67     ;    1;   32.06    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
266;UGC 12549                          ;G  ;1629        ;0.005449    ;1633.45     ;    1;   34.51    Mpc ;  -2.95       +2.95    ;T-F     ;2020ApJ...902..145K
267;UGC 903                            ;G  ;2518        ;0.008435    ;2528.66     ;    1;   38.90    Mpc ;  -2.10       +2.10    ;T-F     ;2020ApJ...902..145K
268;UGC 958                            ;G  ;2420        ;0.008105    ;2429.85     ;    1;   28.18    Mpc ;  -2.16       +2.16    ;T-F     ;2020ApJ...902..145K
269;IC 1711                            ;G  ;2798        ;0.009377    ;2811.18     ;    1;   36.14    Mpc ;  -1.95       +1.95    ;T-F     ;2020ApJ...902..145K
270;NGC 803                            ;G  ;2099        ;0.007026    ;2106.40     ;    1;   22.80    Mpc ;  -1.54       +1.54    ;T-F     ;2020ApJ...902..145K
271;Z 438-55                           ;G  ;3881        ;0.013031    ;3906.45     ;    1;   37.33    Mpc ;  -4.53       +4.53    ;T-F     ;2020ApJ...902..145K
272;2MASX J23282912+1951502            ;G  ;2064        ;0.006908    ;2070.97     ;    1;   30.4     Mpc ;                       ;redshift;2011MNRAS.413..813C
273;UGC 12624                          ;G  ;3515        ;0.011794    ;3535.85     ;    1;   39.81    Mpc ;  -2.87       +2.87    ;T-F     ;2020ApJ...902..145K
274;UGC 12692                          ;G  ;2178        ;0.00729     ;2186.0      ;    1;   35.65    Mpc ;  -2.25       +2.25    ;T-F     ;2020ApJ...902..145K
275;UGC 12641                          ;G  ;2693        ;0.009024    ;2705.20     ;    1;   35.65    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
276;IC 1596                            ;G  ;2675        ;0.008963    ;2687.04     ;    1;   37.84    Mpc ;  -2.55       +2.55    ;T-F     ;2020ApJ...902..145K
277;UGC 1329                           ;G  ;4933        ;0.016592    ;4974.26     ;    1;   37.33    Mpc ;  -2.52       +2.52    ;T-F     ;2020ApJ...902..145K
278;Z 461-57                           ;G  ;4299        ;0.014444    ;4330.27     ;    1;   35.16    Mpc ;  -5.06       +5.06    ;T-F     ;2020ApJ...902..145K
279;LEDA 141060                        ;G  ;1155        ;0.003860    ;1157.23     ;    1;   39.45    Mpc ;  -5.50       +5.50    ;T-F     ;2020ApJ...902..145K
280;Z 462-13                           ;G  ;4223        ;0.014187    ;4253.17     ;    1;   34.67    Mpc ;                       ;        ;2016AJ....152...50T
281;SDSS J225558.74+261007.2           ;G  ;2648        ;0.008872    ;2659.80     ;    1;   39.2     Mpc ;                       ;        ;2008AJ....135..588S
282;Z 476-67                           ;G  ;3718        ;0.012480    ;3741.34     ;    1;   40.55    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
283;LEDA 1808609                       ;G  ;4471        ;0.015027    ;4504.84     ;    1;   32.96    Mpc ;  -4.89       +4.89    ;T-F     ;2020ApJ...902..145K
284;NGC 16                             ;G  ;3046        ;0.010214    ;3062.08     ;    1;   37.8     Mpc ;                       ;        ;2008MNRAS.389.1924F
285;UGC 69                             ;G  ;4637        ;0.015589    ;4673.42     ;    1;   39.08    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
286;UGC 1073                           ;G  ;3674        ;0.012331    ;3696.79     ;    1;   33.27    Mpc ;  -3.89       +3.89    ;T-F     ;2020ApJ...902..145K
287;UGC 1538                           ;G  ;2823        ;0.009461    ;2836.42     ;    1;   37.67    Mpc ;  -4.41       +4.41    ;T-F     ;2020ApJ...902..145K
288;UGC 12430                          ;G  ;3674        ;0.012331    ;3696.79     ;    1;   35.97    Mpc ;  -2.27       +2.27    ;T-F     ;2020ApJ...902..145K
289;Z 498-17                           ;G  ;5144        ;0.017308    ;5188.90     ;    1;   38.19    Mpc ;                       ;        ;2016AJ....152...50T
290;Z 500-15                           ;G  ;4767        ;0.016029    ;4805.51     ;    1;   31.92    Mpc ;  -3.02       +3.02    ;T-F     ;2020ApJ...902..145K
291;UGC 345                            ;G  ;4178        ;0.014035    ;4207.52     ;    1;   38.73    Mpc ;  -2.79       +2.79    ;T-F     ;2020ApJ...902..145K
292;UGC 1711                           ;G  ;2640        ;0.008845    ;2651.73     ;    1;   38.55    Mpc ;  -3.12       +3.12    ;T-F     ;2020ApJ...902..145K
293;UGC 1970                           ;G  ;1913        ;0.006402    ;1919.14     ;    1;   28.97    Mpc ;  -1.83       +1.83    ;T-F     ;2020ApJ...902..145K
294;UGC 11754                          ;G  ;4842        ;0.016284    ;4881.74     ;    1;   34.99    Mpc ;  -4.57       +4.57    ;T-F     ;2020ApJ...902..145K
295;NGC 865                            ;G  ;2993        ;0.010034    ;3008.09     ;    1;   30.76    Mpc ;  -1.80       +1.80    ;T-F     ;2020ApJ...902..145K
296;UGC 1990                           ;G  ;4584        ;0.015409    ;4619.59     ;    1;   33.73    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
297;NGC 7116                           ;G  ;3547        ;0.011902    ;3568.23     ;    1;   35.81    Mpc ;  -4.51       +4.51    ;T-F     ;2020ApJ...902..145K
298;UGC 614                            ;G  ;2354        ;0.007883    ;2363.31     ;    1;   37.15    Mpc ;  -3.51       +3.51    ;T-F     ;2020ApJ...902..145K
299;UGC 1502                           ;G  ;3810        ;0.012791    ;3834.52     ;    1;   39.63    Mpc ;  -3.92       +3.92    ;T-F     ;2020ApJ...902..145K
300;LEDA 2075680                       ;G  ;4281        ;0.014383    ;4312.01     ;    1;   38.19    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
301;Z 504-55                           ;G  ;3075        ;0.010310    ;3090.93     ;    1;   36.64    Mpc ;  -7.09       +7.09    ;T-F     ;2020ApJ...902..145K
302;UGC 2159                           ;G  ;5194        ;0.017478    ;5239.78     ;    1;   36.48    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
303;2MASX J01263327+3952517            ;G  ;2599        ;0.008706    ;2609.99     ;    1;   39.1     Mpc ;                       ;redshift;2011MNRAS.413..813C
304;NGC 620                            ;G  ;2472        ;0.008279    ;2481.98     ;    1;   37.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
305;UGC 4725                           ;G  ;1998        ;0.006687    ;2004.70     ;    1;   34.04    Mpc ;  -2.91       +2.91    ;T-F     ;2020ApJ...902..145K
306;NGC 2731                           ;G  ;2582        ;0.008650    ;2593.22     ;    1;   19.77    Mpc ;  -2.14       +2.14    ;T-F     ;2020ApJ...902..145K
307;ESO 497-2                          ;G  ;1939.6      ;0.006491    ;1945.92     ;    1;   34.83    Mpc ;  -7.21       +7.21    ;T-F     ;2020ApJ...902..145K
308;UGC 4834                           ;G  ;2064        ;0.006909    ;2071.15     ;    1;   31.05    Mpc ;  -5.31       +5.31    ;T-F     ;2020ApJ...902..145K
309;UGC 4878                           ;G  ;1874        ;0.006271    ;1879.89     ;    1;   33.88    Mpc ;  -2.90       +2.90    ;T-F     ;2020ApJ...902..145K
310;UGC 4858                           ;G  ;3041        ;0.010196    ;3056.58     ;    1;   32.66    Mpc ;  -5.58       +5.58    ;T-F     ;2020ApJ...902..145K
311;UGC 4845                           ;G  ;2112        ;0.007070    ;2119.49     ;    1;   38.19    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
312;MCG-01-24-004                      ;G  ;1678.2      ;0.005614    ;1682.92     ;    1;   39.99    Mpc ;  -8.10       +8.10    ;T-F     ;2020ApJ...902..145K
313;NGC 2855                           ;G  ;1904        ;0.006371    ;1909.98     ;    1;   23.33    Mpc ;                       ;        ;2016AJ....152...50T
314;ESO 564-27                         ;G  ;2165.8      ;0.007251    ;2173.68     ;    1;   32.06    Mpc ;  -2.45       +2.45    ;T-F     ;2020ApJ...902..145K
315;ESO 433-8                          ;G  ;2488        ;0.00833     ;2498.0      ;    1;   31.92    Mpc ;                       ;        ;2016AJ....152...50T
316;ESO 433-15                         ;G  ;1853.6      ;0.006202    ;1859.37     ;    1;   30.90    Mpc ;  -5.56       +5.56    ;T-F     ;2020ApJ...902..145K
317;ESO 497-42                         ;G  ;2405        ;0.008055    ;2414.72     ;    1;   32.21    Mpc ;  -4.06       +4.06    ;T-F     ;2020ApJ...902..145K
318;UGC 5107                           ;G  ;2006        ;0.006714    ;2012.76     ;    1;   30.90    Mpc ;  -2.23       +2.23    ;T-F     ;2020ApJ...902..145K
319;UGCA 175                           ;G  ;2025.8      ;0.006780    ;2032.69     ;    1;   31.8     Mpc ;                       ;        ;2007ApJ...661..801O
320;ESO 373-12                         ;G  ;2654.5      ;0.008894    ;2666.36     ;    1;   41.11    Mpc ;  -7.40       +7.40    ;T-F     ;2020ApJ...902..145K
321;ESO 373-21                         ;G  ;2633.1      ;0.008822    ;2644.77     ;    1;   38.37    Mpc ;  -3.11       +3.11    ;T-F     ;2020ApJ...902..145K
322;Z 63-87                            ;G  ;2883        ;0.009663    ;2897.00     ;    1;   38.19    Mpc ;  -3.61       +3.61    ;T-F     ;2020ApJ...902..145K
323;LEDA 1268744                       ;G  ;1942        ;0.006499    ;1948.33     ;    1;   30.43    Mpc ;  -1.86       +1.86    ;redshift;2015ApJ...809..146B
324;UGC 5249                           ;G  ;1874        ;0.006271    ;1879.89     ;    1;   24.77    Mpc ;  -1.67       +1.67    ;T-F     ;2020ApJ...902..145K
325;LEDA 1200167                       ;G  ;1953        ;0.006536    ;1959.40     ;    1;   30.48    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
326;LEDA 90941                         ;G  ;2352        ;0.007876    ;2361.30     ;    1;   39.63    Mpc ;                       ;        ;2016AJ....152...50T
327;MCG-02-25-023                      ;G  ;2526        ;0.008462    ;2536.73     ;    1;   38.90    Mpc ;  -5.95       +5.95    ;T-F     ;2020ApJ...902..145K
328;ESO 374-8                          ;G  ;1522        ;0.005090    ;1525.88     ;    1;   31.33    Mpc ;  -8.04       +8.04    ;T-F     ;2020ApJ...902..145K
329;UGC 5394                           ;G  ;1434        ;0.004795    ;1437.45     ;    1;   38.55    Mpc ;  -4.16       +4.16    ;T-F     ;2020ApJ...902..145K
330;UGC 5391                           ;G  ;1568        ;0.005244    ;1572.12     ;    1;   34.36    Mpc ;  -3.25       +3.25    ;T-F     ;2020ApJ...902..145K
331;UGC 5401                           ;G  ;2006        ;0.006714    ;2012.76     ;    1;   34.51    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
332;UGC 5403                           ;G  ;2089        ;0.006993    ;2096.33     ;    1;   41.11    Mpc ;                       ;        ;2016AJ....152...50T
333;NGC 3094                           ;G  ;2405        ;0.008055    ;2414.72     ;    1;   35.6     Mpc ;                       ;redshift;2011MNRAS.413..813C
334;UGC 5347                           ;G  ;2153        ;0.007208    ;2160.79     ;    1;   36.14    Mpc ;  -2.28       +2.28    ;T-F     ;2020ApJ...902..145K
335;UGC 5376                           ;G  ;2050        ;0.006862    ;2057.06     ;    1;   39.63    Mpc ;  -2.14       +2.14    ;T-F     ;2020ApJ...902..145K
336;SDSS J095830.23+000242.7           ;G  ;1897        ;0.006348    ;1903.04     ;    1;   30.23    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
337;ESO 499-25                         ;G  ;2403        ;0.008048    ;2412.71     ;    1;   30.48    Mpc ;  -5.21       +5.21    ;T-F     ;2020ApJ...902..145K
338;ESO 435-15                         ;G  ;2441        ;0.008176    ;2451.02     ;    1;   19.59    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
339;ESO 435-10                         ;G  ;2493        ;0.008349    ;2502.97     ;    1;   33.88    Mpc ;                       ;        ;2016AJ....152...50T
340;UGC 5482                           ;G  ;1456        ;0.004869    ;1459.55     ;    1;   30.06    Mpc ;  -4.19       +4.19    ;T-F     ;2020ApJ...902..145K
341;NGC 3153                           ;G  ;2811        ;0.009421    ;2824.30     ;    1;   34.99    Mpc ;  -2.83       +2.83    ;T-F     ;2020ApJ...902..145K
342;UGC 5522                           ;G  ;1217        ;0.004068    ;1219.48     ;    1;   41.88    Mpc ;                       ;        ;2016AJ....152...50T
343;UGC 5504                           ;G  ;1545        ;0.005167    ;1549.00     ;    1;   31.19    Mpc ;  -2.53       +2.53    ;T-F     ;2020ApJ...902..145K
344;MCG-02-26-031                      ;G  ;3469        ;0.011639    ;3489.30     ;    1;   33.42    Mpc ;                       ;        ;2016AJ....152...50T
345;ESO 435-50                         ;G  ;2716        ;0.009101    ;2728.42     ;    1;   39.99    Mpc ;  -6.30       +6.30    ;T-F     ;2020ApJ...902..145K
346;IC 2556                            ;G  ;2491.8      ;0.008347    ;2502.24     ;    1;   36.14    Mpc ;  -4.23       +4.23    ;T-F     ;2020ApJ...902..145K
347;UGC 5633                           ;G  ;1382        ;0.004621    ;1385.20     ;    1;   30.76    Mpc ;  -3.46       +3.46    ;T-F     ;2020ApJ...902..145K
