C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.18CEST01:53:59

maintype = G & redshift >0 & Distance.distance <  60 & Distance.distance  >= 50 & Distance.unit = Mpc
-----------------------------------------------------------------------------------------------------

Number of objects : 801

 # ;            identifier             ;typ;   radvel   ;  redshift  ;     cz     ;#dist; distance Q unit;  err-        err+     ; method ;     reference     
59 ;LEDA 90836                         ;G  ;2240        ;0.007500    ;2248.43     ;    1;   57.28    Mpc ; -13.92      +13.92    ;T-F     ;2020ApJ...902..145K
60 ;UGC 3984                           ;G  ;3882        ;0.013034    ;3907.46     ;    1;   53.95    Mpc ;  -5.34       +5.34    ;T-F     ;2020ApJ...902..145K
61 ;LEDA 91528                         ;G  ;3084        ;0.010341    ;3100.03     ;    1;   59.70    Mpc ; -11.55      +11.55    ;T-F     ;2020ApJ...902..145K
62 ;UGC 3991                           ;G  ;4083        ;0.013713    ;4111.19     ;    1;   51.52    Mpc ;  -8.11       +8.11    ;T-F     ;2020ApJ...902..145K
63 ;UGC 3967                           ;G  ;5818        ;0.019600    ;5875.93     ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
64 ;UGC 3905                           ;G  ;4832        ;0.016250    ;4871.58     ;    1;   53.70    Mpc ; -12.81      +12.81    ;T-F     ;2020ApJ...902..145K
65 ;UGC 3943                           ;G  ;3525        ;0.011828    ;3545.97     ;    1;   56.75    Mpc ;  -4.85       +4.85    ;T-F     ;2020ApJ...902..145K
66 ;UGC 4697                           ;G  ;3732        ;0.012527    ;3755.52     ;    1;   58.34    Mpc ;  -9.19       +9.19    ;T-F     ;2020ApJ...902..145K
67 ;LEDA 91533                         ;G  ;4281        ;0.014383    ;4312.01     ;    1;   53.46    Mpc ; -10.34      +10.34    ;T-F     ;2020ApJ...902..145K
68 ;UGC 9784                           ;G  ;2362        ;0.007910    ;2371.38     ;    1;   52.00    Mpc ;  -9.36       +9.36    ;T-F     ;2020ApJ...902..145K
69 ;NGC 5144                           ;G  ;3098        ;0.010387    ;3113.94     ;    1;   50.7     Mpc ;                       ;        ;2000ApJ...529..786M
70 ;NGC 2469                           ;G  ;3482        ;0.011683    ;3502.46     ;    1;   41.69    Mpc ;  -7.88       +7.88    ;T-F     ;2020ApJ...902..145K
71 ;UGC 4043                           ;G  ;3404        ;0.011420    ;3423.55     ;    1;   57.81    Mpc ;  -4.16       +4.16    ;T-F     ;2020ApJ...902..145K
72 ;UGC 3881                           ;G  ;3055        ;0.010243    ;3070.73     ;    1;   56.75    Mpc ;  -7.41       +7.41    ;T-F     ;2020ApJ...902..145K
73 ;UGC 10278                          ;G  ;3883        ;0.013036    ;3908.09     ;    1;   59       Mpc ;                       ;        ;2007ApJS..173..185G
74 ;NGC 4034                           ;G  ;2370        ;0.007937    ;2379.44     ;    1;   50.82    Mpc ;  -9.83       +9.83    ;T-F     ;2020ApJ...902..145K
75 ;UGC 4280                           ;G  ;3519        ;0.011808    ;3539.90     ;    1;   58.34    Mpc ;  -6.04       +6.04    ;T-F     ;2020ApJ...902..145K
76 ;UGC 6256                           ;G  ;3380        ;0.01134     ;3399.6      ;    1;   59.98    Mpc ;  -6.21       +6.21    ;T-F     ;2020ApJ...902..145K
77 ;UGC 5520                           ;G  ;3283        ;0.01101     ;3300.7      ;    1;   54.20    Mpc ;  -6.34       +6.34    ;T-F     ;2020ApJ...902..145K
78 ;UGC 7848                           ;G  ;2499        ;0.008371    ;2509.50     ;    1;   51.76    Mpc ;  -4.89       +4.89    ;T-F     ;2020ApJ...902..145K
79 ;UGC 7153                           ;G  ;2608        ;0.008738    ;2619.44     ;    1;   41.69    Mpc ;  -3.75       +3.75    ;T-F     ;2020ApJ...902..145K
80 ;UGC 6354                           ;G  ;3277        ;0.01099     ;3294.7      ;    1;   55.72    Mpc ;  -8.27       +8.27    ;T-F     ;2020ApJ...902..145K
81 ;MCG+10-15-008                      ;G  ;2216        ;0.007419    ;2224.25     ;    1;   58.88    Mpc ; -12.19      +12.19    ;T-F     ;2020ApJ...902..145K
82 ;UGC 4696                           ;G  ;4870        ;0.016379    ;4910.21     ;    1;   52.24    Mpc ;  -5.64       +5.64    ;T-F     ;2020ApJ...902..145K
83 ;UGC 4307                           ;G  ;3093        ;0.01037     ;3108.8      ;    1;   52.00    Mpc ;  -4.68       +4.68    ;T-F     ;2020ApJ...902..145K
84 ;LEDA 91426                         ;G  ;2526        ;0.008462    ;2536.73     ;    1;   50.58    Mpc ; -10.93      +10.93    ;T-F     ;2020ApJ...902..145K
85 ;UGC 9702                           ;G  ;3543        ;0.01189     ;3564.5      ;    1;   57.02    Mpc ;  -7.70       +7.70    ;T-F     ;2020ApJ...902..145K
86 ;UGC 8282                           ;G  ;2064        ;0.006909    ;2071.15     ;    1;   40.18    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
87 ;UGC 6858                           ;G  ;3119        ;0.01046     ;3135.8      ;    1;   57.81    Mpc ;  -9.63       +9.63    ;T-F     ;2020ApJ...902..145K
88 ;NGC 2756                           ;G  ;3977        ;0.013355    ;4003.73     ;    1;   56.23    Mpc ;  -6.58       +6.58    ;T-F     ;2020ApJ...902..145K
89 ;UGC 7618                           ;G  ;4696        ;0.015789    ;4733.36     ;    1;   57.81    Mpc ;  -7.28       +7.28    ;T-F     ;2020ApJ...902..145K
90 ;NGC 4141                           ;G  ;1900        ;0.006358    ;1906.06     ;    1;   54.20    Mpc ; -12.93      +12.93    ;T-F     ;2020ApJ...902..145K
91 ;UGC 6732                           ;G  ;2389        ;0.0080      ;2398        ;    1;   53.6     Mpc ;                       ;T-F     ;2011PASP..123.1011A
92 ;UGC 6774                           ;G  ;2419        ;0.008102    ;2428.84     ;    1;   48.53    Mpc ;  -5.46       +5.46    ;T-F     ;2020ApJ...902..145K
93 ;UGC 9377                           ;G  ;3033        ;0.01017     ;3048.9      ;    1;   54.45    Mpc ; -10.54      +10.54    ;T-F     ;2020ApJ...902..145K
94 ;UGC 9422                           ;G  ;3288        ;0.01103     ;3306.7      ;    1;   53.21    Mpc ;  -3.83       +3.83    ;T-F     ;2020ApJ...902..145K
95 ;NGC 4617                           ;G  ;4610        ;0.0155      ;4646        ;    1;   51.76    Mpc ;  -3.03       +3.03    ;T-F     ;2020ApJ...902..145K
96 ;MCG+09-20-132                      ;G  ;3483        ;0.011686    ;3503.47     ;    1;   54.95    Mpc ; -10.14      +10.14    ;T-F     ;2020ApJ...902..145K
97 ;UGC 4992                           ;G  ;4123        ;0.01385     ;4152.1      ;    1;   59.16    Mpc ;  -5.86       +5.86    ;T-F     ;2020ApJ...902..145K
98 ;NGC 3811                           ;G  ;3149        ;0.01056     ;3165.8      ;    1;   63.97    Mpc ;                       ;        ;2016AJ....152...50T
99 ;MCG+07-22-012                      ;G  ;4138        ;0.013899    ;4166.96     ;    1;   61.66    Mpc ;  -6.94       +6.94    ;T-F     ;2020ApJ...902..145K
100;UGC 5301                           ;G  ;4818        ;0.016201    ;4856.94     ;    1;   54.45    Mpc ;                       ;        ;2016AJ....152...50T
101;UGC 4970                           ;G  ;2409        ;0.008068    ;2418.76     ;    1;   45.50    Mpc ;  -4.71       +4.71    ;T-F     ;2020ApJ...902..145K
102;UGC 2530                           ;G  ;4263        ;0.014322    ;4293.75     ;    1;   58.34    Mpc ;  -4.20       +4.20    ;T-F     ;2020ApJ...902..145K
103;Mrk 1068                           ;G  ;5191        ;0.017468    ;5236.73     ;    1;   50.58    Mpc ;  -4.10       +4.10    ;T-F     ;2020ApJ...902..145K
104;UGC 2479                           ;G  ;2865.4      ;0.009604    ;2879.23     ;    1;   50.35    Mpc ;  -3.40       +3.40    ;T-F     ;2020ApJ...902..145K
105;MCG+00-08-075                      ;G  ;5928        ;0.01997     ;5988.0      ;    1;   51.29    Mpc ;                       ;        ;2016AJ....152...50T
106;MCG-02-09-003                      ;G  ;3119        ;0.010459    ;3135.39     ;    1;   57.02    Mpc ;  -6.67       +6.67    ;T-F     ;2020ApJ...902..145K
107;ESO 546-36                         ;G  ;3041        ;0.010197    ;3056.98     ;    1;   59.98    Mpc ;                       ;        ;2016AJ....152...50T
108;MCG+02-09-002                      ;G  ;4759        ;0.016002    ;4797.38     ;    1;   45.50    Mpc ;  -3.89       +3.89    ;T-F     ;2020ApJ...902..145K
109;NGC 1304                           ;G  ;3951        ;0.013267    ;3977.38     ;    1;   53.46    Mpc ;                       ;        ;2016AJ....152...50T
110;NGC 1286                           ;G  ;4289        ;0.01441     ;4320.0      ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
111;NGC 1242                           ;G  ;3724        ;0.0125      ;3747        ;    1;   64.57    Mpc ;                       ;        ;2016AJ....152...50T
112;ESO 481-17                         ;G  ;3924.4      ;0.013177    ;3950.43     ;    1;   55.0     Mpc ;                       ;        ;2007ApJ...661..801O
113;MCG-01-09-041                      ;G  ;4144        ;0.01392     ;4173.1      ;    1;   58       Mpc ;                       ;        ;2007ApJS..173..185G
114;NGC 1329                           ;G  ;4316        ;0.014503    ;4347.89     ;    1;   74.13    Mpc ;                       ;        ;2016AJ....152...50T
115;IC 1928                            ;G  ;4209        ;0.0141      ;4239        ;    1;   59.70    Mpc ;                       ;        ;2016AJ....152...50T
116;6dFGS gJ033850.5-044734            ;G  ;4223        ;0.014187    ;4253.17     ;    1;   52.24    Mpc ;  -9.17       +9.17    ;T-F     ;2020ApJ...902..145K
117;NGC 1403                           ;G  ;4242        ;0.014250    ;4272.04     ;    1;   57.2     Mpc ;                       ;        ;2008MNRAS.389.1924F
118;UGC 2885                           ;G  ;5866        ;0.01976     ;5925.0      ;    1;   53.95    Mpc ;  -3.16       +3.16    ;T-F     ;2020ApJ...902..145K
119;UGC 2899                           ;G  ;3482        ;0.011683    ;3502.46     ;    1;   53.95    Mpc ;  -4.13       +4.13    ;T-F     ;2020ApJ...902..145K
120;2MFGC 3106                         ;G  ;4449        ;0.014952    ;4482.51     ;    1;   50.58    Mpc ;                       ;        ;2016AJ....152...50T
121;NGC 1459                           ;G  ;4173.4      ;0.014019    ;4202.86     ;    1;   52.48    Mpc ;  -6.61       +6.61    ;T-F     ;2020ApJ...902..145K
122;UGC 2920                           ;G  ;4184        ;0.014055    ;4213.61     ;    1;   69.82    Mpc ;  -6.60       +6.60    ;T-F     ;2020ApJ...902..145K
123;UGC 2910                           ;G  ;5507        ;0.018541    ;5558.52     ;    1;   48.75    Mpc ;  -7.24       +7.24    ;T-F     ;2020ApJ...902..145K
124;ESO 483-2                          ;G  ;4442        ;0.014930    ;4475.90     ;    1;   51.76    Mpc ;                       ;        ;2016AJ....152...50T
125;LEDA 86266                         ;G  ;4662        ;0.015674    ;4698.82     ;    1;   48.75    Mpc ;  -4.61       +4.61    ;T-F     ;2020ApJ...902..145K
126;UGC 2988                           ;G  ;3822        ;0.012831    ;3846.68     ;    1;   43.45    Mpc ;  -2.54       +2.54    ;T-F     ;2020ApJ...902..145K
127;UGC 2982                           ;G  ;5318        ;0.017899    ;5366.02     ;    1;   54.70    Mpc ;  -3.69       +3.69    ;T-F     ;2020ApJ...902..145K
128;UGC 3002                           ;G  ;3584        ;0.012027    ;3605.68     ;    1;   53.46    Mpc ; -10.34      +10.34    ;T-F     ;2020ApJ...902..145K
129;ESO 360-4                          ;G  ;4359        ;0.014647    ;4391.16     ;    1;   54.70    Mpc ; -13.05      +13.05    ;T-F     ;2020ApJ...902..145K
130;UGC 3028                           ;G  ;5482        ;0.018456    ;5533.05     ;    1;   52.48    Mpc ;  -4.72       +4.72    ;T-F     ;2020ApJ...902..145K
131;UGC 3017                           ;G  ;3877        ;0.013017    ;3902.40     ;    1;   51.29    Mpc ;  -8.08       +8.08    ;T-F     ;2020ApJ...902..145K
132;UGC 3029                           ;G  ;4986        ;0.016772    ;5028.16     ;    1;   70.47    Mpc ; -11.73      +11.73    ;T-F     ;2020ApJ...902..145K
133;UGC 3076                           ;G  ;4047        ;0.013592    ;4074.69     ;    1;   58.34    Mpc ;  -7.35       +7.35    ;T-F     ;2020ApJ...902..145K
134;MCG-01-12-015                      ;G  ;4779        ;0.016070    ;4817.71     ;    1;   65.46    Mpc ; -12.37      +12.37    ;T-F     ;2020ApJ...902..145K
135;NGC 1628                           ;G  ;3696        ;0.012405    ;3719.07     ;    1;   51.52    Mpc ;  -3.94       +3.94    ;T-F     ;2020ApJ...902..145K
136;NGC 1625                           ;G  ;4766        ;0.016026    ;4804.49     ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
137;ESO 421-6                          ;G  ;4099        ;0.013768    ;4127.41     ;    1;   55.98    Mpc ;  -9.32       +9.32    ;T-F     ;2020ApJ...902..145K
138;2MASX J04514426+3856227            ;G  ;3917        ;0.013152    ;3942.93     ;    1;   57.28    Mpc ;  -5.67       +5.67    ;T-F     ;2020ApJ...902..145K
139;NGC 1656                           ;G  ;3823        ;0.012836    ;3848.14     ;    1;   43.25    Mpc ;                       ;        ;2016AJ....152...50T
140;2MASX J04450285-2746224            ;G  ;5485        ;0.01847     ;5536.0      ;    1;   58.34    Mpc ;                       ;        ;2016AJ....152...50T
141;ESO 361-12                         ;G  ;5331        ;0.017943    ;5379.25     ;    1;   55.98    Mpc ;  -5.04       +5.04    ;T-F     ;2020ApJ...902..145K
142;UGC 3205                           ;G  ;3568        ;0.0120      ;3589        ;    1;   52.24    Mpc ;  -3.29       +3.29    ;T-F     ;2020ApJ...902..145K
143;MCG-02-13-034                      ;G  ;3769.1      ;0.012652    ;3793.09     ;    1;   51.05    Mpc ;  -6.43       +6.43    ;T-F     ;2020ApJ...902..145K
144;MCG-03-13-058                      ;G  ;4305        ;0.014465    ;4336.36     ;    1;   62.52    Mpc ;  -9.28       +9.28    ;T-F     ;2020ApJ...902..145K
145;NGC 1710                           ;G  ;5150        ;0.017329    ;5195.10     ;    1;   54.70    Mpc ;                       ;        ;2016AJ....152...50T
146;ESO 552-52                         ;G  ;4550        ;0.015294    ;4585.03     ;    1;   55.72    Mpc ;                       ;        ;2016AJ....152...50T
147;UGC 3264                           ;G  ;8643        ;0.029258    ;8771.26     ;    1;   52.72    Mpc ;                       ;        ;2016AJ....152...50T
148;MCG-02-14-005                      ;G  ;2288.9      ;0.007664    ;2297.70     ;    1;   50.35    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
149;ESO 553-16                         ;G  ;3569        ;0.011977    ;3590.50     ;    1;   55.21    Mpc ;  -5.96       +5.96    ;T-F     ;2020ApJ...902..145K
150;ESO 553-4                          ;G  ;4559        ;0.015325    ;4594.20     ;    1;   51.05    Mpc ;  -8.04       +8.04    ;T-F     ;2020ApJ...902..145K
151;MCG-02-14-015                      ;G  ;2471        ;0.008276    ;2481.08     ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
152;ESO 423-4                          ;G  ;4505        ;0.015142    ;4539.36     ;    1;   60.26    Mpc ;  -8.41       +8.41    ;T-F     ;2020ApJ...902..145K
153;ESO 423-24                         ;G  ;3942        ;0.013236    ;3968.05     ;    1;   38.73    Mpc ;                       ;        ;2016AJ....152...50T
154;2MFGC 4796                         ;G  ;3496        ;0.011730    ;3516.62     ;    1;   50.12    Mpc ;  -2.93       +2.93    ;T-F     ;2020ApJ...902..145K
155;MCG+06-14-003                      ;G  ;5729        ;0.019296    ;5784.80     ;    1;   51.05    Mpc ;  -7.12       +7.12    ;T-F     ;2020ApJ...902..145K
156;ESO 555-29                         ;G  ;2893        ;0.009697    ;2907.09     ;    1;   46.56    Mpc ;  -4.40       +4.40    ;T-F     ;2020ApJ...902..145K
157;ESO 489-8                          ;G  ;5846        ;0.019694    ;5904.11     ;    1;   57.81    Mpc ;                       ;        ;2016AJ....152...50T
158;ESO 425-11                         ;G  ;3202        ;0.010738    ;3219.28     ;    1;   52.24    Mpc ;  -8.23       +8.23    ;T-F     ;2020ApJ...902..145K
159;ESO 556-12                         ;G  ;2573        ;0.008620    ;2584.14     ;    1;   59.98    Mpc ; -11.61      +11.61    ;T-F     ;2020ApJ...902..145K
160;ESO 489-23                         ;G  ;2051.5      ;0.006867    ;2058.57     ;    1;   58.34    Mpc ; -15.75      +15.75    ;T-F     ;2020ApJ...902..145K
161;ESO 490-4                          ;G  ;2231        ;0.007470    ;2239.36     ;    1;   50.35    Mpc ; -19.71      +19.71    ;T-F     ;2020ApJ...902..145K
162;UGC 3498                           ;G  ;3797.33     ;0.012748    ;3821.69     ;    1;   51.05    Mpc ;  -2.76       +2.76    ;T-F     ;2020ApJ...902..145K
163;UGC 3524                           ;G  ;3904.91     ;0.013111    ;3930.68     ;    1;   51.76    Mpc ;  -3.26       +3.26    ;T-F     ;2020ApJ...902..145K
164;ESO 490-31                         ;G  ;1993        ;0.006670    ;1999.67     ;    1;   52.72    Mpc ;  -6.88       +6.88    ;T-F     ;2020ApJ...902..145K
165;UGC 3584                           ;G  ;4439        ;0.014918    ;4472.36     ;    1;   61.09    Mpc ;  -6.05       +6.05    ;T-F     ;2020ApJ...902..145K
166;ESO 490-46                         ;G  ;2831.8      ;0.009491    ;2845.30     ;    1;   58.88    Mpc ;  -8.48       +8.48    ;T-F     ;2020ApJ...902..145K
167;UGC 3622                           ;G  ;4995        ;0.016803    ;5037.31     ;    1;   57.81    Mpc ;  -3.90       +3.90    ;T-F     ;2020ApJ...902..145K
168;UGC 3652                           ;G  ;4537        ;0.015250    ;4571.86     ;    1;   52.24    Mpc ;  -4.47       +4.47    ;T-F     ;2020ApJ...902..145K
169;UGC 3658                           ;G  ;1184        ;0.003957    ;1186.35     ;    1;   52.48    Mpc ; -13.93      +13.93    ;T-F     ;2020ApJ...902..145K
170;LEDA 90771                         ;G  ;6599        ;0.022260    ;6673.25     ;    1;   59.16    Mpc ; -10.38      +10.38    ;T-F     ;2020ApJ...902..145K
171;NGC 2373                           ;G  ;7633        ;0.025795    ;7733.15     ;    1;   59.43    Mpc ;                       ;        ;2016AJ....152...50T
172;IC 2185                            ;G  ;4796        ;0.016128    ;4834.98     ;    1;   70.15    Mpc ; -10.10      +10.10    ;T-F     ;2020ApJ...902..145K
173;UGC 3808                           ;G  ;2389        ;0.008001    ;2398.60     ;    1;   40.93    Mpc ;  -7.37       +7.37    ;T-F     ;2020ApJ...902..145K
174;UGC 3873                           ;G  ;4434        ;0.014900    ;4466.91     ;    1;   58.61    Mpc ;                       ;        ;2016AJ....152...50T
175;Z 147-36                           ;G  ;4598        ;0.015457    ;4633.81     ;    1;   56.49    Mpc ;  -3.81       +3.81    ;T-F     ;2020ApJ...902..145K
176;UGC 3924                           ;G  ;5119        ;0.017222    ;5163.03     ;    1;   58.34    Mpc ;                       ;        ;2016AJ....152...50T
177;NGC 2416                           ;G  ;5129        ;0.017257    ;5173.64     ;    1;   51.76    Mpc ; -10.02      +10.02    ;T-F     ;2020ApJ...902..145K
178;UGC 3955                           ;G  ;5102        ;0.017166    ;5146.16     ;    1;   81.28    Mpc ;  -4.02       +4.02    ;T-F     ;2020ApJ...902..145K
179;Z 30-4                             ;G  ;2777        ;0.009306    ;2789.98     ;    1;   52.97    Mpc ;  -2.86       +2.86    ;T-F     ;2020ApJ...902..145K
180;UGC 3986                           ;G  ;3735        ;0.012537    ;3758.56     ;    1;   51.05    Mpc ;  -5.51       +5.51    ;T-F     ;2020ApJ...902..145K
181;IC 475                             ;G  ;4442        ;0.01493     ;4475.9      ;    1;   55.46    Mpc ;  -5.49       +5.49    ;T-F     ;2020ApJ...902..145K
182;UGC 4039                           ;G  ;3685        ;0.01237     ;3708.4      ;    1;   53.21    Mpc ;  -3.11       +3.11    ;T-F     ;2020ApJ...902..145K
183;Z 148-25                           ;G  ;4690        ;0.01577     ;4727.7      ;    1;   53.21    Mpc ;  -3.59       +3.59    ;T-F     ;2020ApJ...902..145K
184;UGC 4064                           ;G  ;4310        ;0.014481    ;4341.43     ;    1;   54.20    Mpc ;  -5.61       +5.61    ;T-F     ;2020ApJ...902..145K
185;UGC 4044                           ;G  ;4611        ;0.01550     ;4646.8      ;    1;   67.30    Mpc ;  -8.48       +8.48    ;T-F     ;2020ApJ...902..145K
186;2MASX J07491487-0556133            ;G  ;2203        ;0.0074      ;2211        ;    1;   50.12    Mpc ;  -4.29       +4.29    ;T-F     ;2020ApJ...902..145K
187;ESO 560-13                         ;G  ;3239        ;0.010863    ;3256.69     ;    1;   44.87    Mpc ;  -2.63       +2.63    ;T-F     ;2020ApJ...902..145K
188;IC 480                             ;G  ;4617        ;0.015521    ;4653.11     ;    1;   51.76    Mpc ;  -3.03       +3.03    ;T-F     ;2020ApJ...902..145K
189;LEDA 1733658                       ;G  ;3529        ;0.01184     ;3549.5      ;    1;   54.43    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
190;LEDA 90815                         ;G  ;2549        ;0.008539    ;2559.93     ;    1;   53.95    Mpc ;  -3.88       +3.88    ;T-F     ;2020ApJ...902..145K
191;2MASX J08002470-1210455            ;G  ;2741        ;0.009185    ;2753.65     ;    1; 2303.086   pc  ;-227.5504   +227.5504  ;paral   ;2020yCat.1350....0G
192;UGC 4247                           ;G  ;2839        ;0.009515    ;2852.57     ;    1;   58.34    Mpc ;  -3.94       +3.94    ;T-F     ;2020ApJ...902..145K
193;Z 59-31                            ;G  ;4581        ;0.01540     ;4616.8      ;    1;   48.08    Mpc ;  -9.09       +9.09    ;T-F     ;2020ApJ...902..145K
194;NGC 2538                           ;G  ;4074        ;0.013683    ;4102.06     ;    1;   57       Mpc ;                       ;        ;2007ApJS..173..185G
195;UGC 4373                           ;G  ;5940        ;0.020014    ;6000.03     ;    1;   74.47    Mpc ;  -7.37       +7.37    ;T-F     ;2020ApJ...902..145K
196;IC 2327                            ;G  ;2680        ;0.008980    ;2692.09     ;    1;   49.20    Mpc ;  -3.10       +3.10    ;T-F     ;2020ApJ...902..145K
197;NGC 2574                           ;G  ;2858.4      ;0.009580    ;2872.16     ;    1;   52.97    Mpc ;  -6.44       +6.44    ;T-F     ;2020ApJ...902..145K
198;MCG-02-22-009                      ;G  ;4722        ;0.015877    ;4759.78     ;    1;   56.49    Mpc ;  -8.90       +8.90    ;T-F     ;2020ApJ...902..145K
199;Z 149-50                           ;G  ;2235        ;0.007483    ;2243.39     ;    1;   50.12    Mpc ;  -4.96       +4.96    ;T-F     ;2020ApJ...902..145K
200;UGC 4425                           ;G  ;5854        ;0.01972     ;5911.9      ;    1;   56.75    Mpc ;  -4.09       +4.09    ;T-F     ;2020ApJ...902..145K
201;UGC 4450                           ;G  ;5833        ;0.01965     ;5890.9      ;    1;   59.16    Mpc ;  -3.73       +3.73    ;T-F     ;2020ApJ...902..145K
202;LEDA 24048                         ;G  ;3499        ;0.01174     ;3519.6      ;    1;   53.64    Mpc ;  -2.18       +2.18    ;redshift;2015ApJ...809..146B
203;Z 119-110                          ;G  ;3742        ;0.01256     ;3765.4      ;    1;   57.54    Mpc ;  -4.14       +4.14    ;T-F     ;2020ApJ...902..145K
204;ESO 562-10                         ;G  ;5716        ;0.019253    ;5771.90     ;    1;   57.54    Mpc ;                       ;        ;2016AJ....152...50T
205;Z 61-3                             ;G  ;4061        ;0.01364     ;4089.2      ;    1;   75.16    Mpc ;  -4.74       +4.74    ;T-F     ;2020ApJ...902..145K
206;UGC 4567                           ;G  ;4073        ;0.01368     ;4101.2      ;    1;   62.52    Mpc ;  -3.94       +3.94    ;T-F     ;2020ApJ...902..145K
207;Z 32-55                            ;G  ;4329        ;0.014546    ;4360.71     ;    1;   52.48    Mpc ;  -4.01       +4.01    ;T-F     ;2020ApJ...902..145K
208;UGC 4571                           ;G  ;3984        ;0.01338     ;4011.2      ;    1;   53.70    Mpc ;  -4.11       +4.11    ;T-F     ;2020ApJ...902..145K
209;ESO 563-10                         ;G  ;4584        ;0.015409    ;4619.59     ;    1;   48.31    Mpc ;  -5.87       +5.87    ;T-F     ;2020ApJ...902..145K
210;MCG-02-23-006                      ;G  ;5298        ;0.01783     ;5346.0      ;    1;   52.24    Mpc ;                       ;        ;2016AJ....152...50T
211;ESO 563-24                         ;G  ;2655        ;0.00890     ;2667.0      ;    1;   52.72    Mpc ;                       ;        ;2016AJ....152...50T
212;ESO 563-37                         ;G  ;4447        ;0.01494     ;4480.0      ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
213;IC 524                             ;G  ;4427        ;0.01488     ;4460.0      ;    1;   53.46    Mpc ;                       ;        ;2016AJ....152...50T
214;IC 5186                            ;G  ;4943        ;0.016626    ;4984.43     ;    1;   59.43    Mpc ; -11.50      +11.50    ;T-F     ;2020ApJ...902..145K
215;NGC 1165                           ;G  ;4919        ;0.016545    ;4960.03     ;    1;   56.49    Mpc ;  -4.83       +4.83    ;T-F     ;2020ApJ...902..145K
216;ESO 408-12                         ;G  ;2992.9      ;0.010034    ;3007.99     ;    1;   52.97    Mpc ;  -6.91       +6.91    ;T-F     ;2020ApJ...902..145K
217;ESO 295-32                         ;G  ;3923        ;0.013172    ;3949.01     ;    1;   51.29    Mpc ;  -7.39       +7.39    ;T-F     ;2020ApJ...902..145K
218;ESO 353-13                         ;G  ;5272        ;0.017742    ;5318.92     ;    1;   52.72    Mpc ;                       ;        ;2016AJ....152...50T
219;ESO 415-26                         ;G  ;4558        ;0.0153      ;4593        ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
220;ESO 415-31                         ;G  ;4611        ;0.015501    ;4647.01     ;    1;   56.75    Mpc ;  -7.15       +7.15    ;T-F     ;2020ApJ...902..145K
221;ESO 464-19                         ;G  ;5850        ;0.019708    ;5908.21     ;    1;   58.88    Mpc ; -12.19      +12.19    ;T-F     ;2020ApJ...902..145K
222;ESO 404-31                         ;G  ;4377        ;0.014708    ;4409.42     ;    1;   56.49    Mpc ;  -8.39       +8.39    ;T-F     ;2020ApJ...902..145K
223;ESO 352-47                         ;G  ;3802.7      ;0.012766    ;3827.13     ;    1;   52       Mpc ;                       ;        ;2007ApJS..173..185G
224;ESO 414-8                          ;G  ;4041        ;0.013573    ;4069.08     ;    1;   56.75    Mpc ;                       ;        ;2016AJ....152...50T
225;ESO 415-10                         ;G  ;3673        ;0.012329    ;3696.14     ;    1;   55.21    Mpc ;                       ;        ;2016AJ....152...50T
226;ESO 412-8                          ;G  ;5618        ;0.018919    ;5671.64     ;    1;   54.70    Mpc ;  -7.88       +7.88    ;T-F     ;2020ApJ...902..145K
227;ESO 533-37                         ;G  ;3558        ;0.011938    ;3578.92     ;    1;   54.20    Mpc ;                       ;        ;2016AJ....152...50T
228;NGC 7306                           ;G  ;3539.3      ;0.011876    ;3560.44     ;    1;   47.64    Mpc ;  -4.50       +4.50    ;T-F     ;2020ApJ...902..145K
229;ESO 479-20                         ;G  ;3026.1      ;0.010145    ;3041.53     ;    1;   55.72    Mpc ;  -6.77       +6.77    ;T-F     ;2020ApJ...902..145K
230;NGC 836                            ;G  ;4356        ;0.014637    ;4388.06     ;    1;   68.87    Mpc ;                       ;        ;2016AJ....152...50T
231;ESO 472-10                         ;G  ;3930.2      ;0.013197    ;3956.30     ;    1;   50.35    Mpc ;  -5.89       +5.89    ;T-F     ;2020ApJ...902..145K
232;ESO 545-20                         ;G  ;4906        ;0.016501    ;4946.88     ;    1;   58.61    Mpc ;                       ;        ;2016AJ....152...50T
233;NGC 947                            ;G  ;4943.9      ;0.016629    ;4985.35     ;    1;   51.52    Mpc ;  -7.65       +7.65    ;T-F     ;2020ApJ...902..145K
234;ESO 546-21                         ;G  ;3062        ;0.010266    ;3077.80     ;    1;   54.95    Mpc ; -11.13      +11.13    ;T-F     ;2020ApJ...902..145K
235;ESO 604-2                          ;G  ;4133.6      ;0.013885    ;4162.49     ;    1;   65.16    Mpc ; -14.66      +14.66    ;T-F     ;2020ApJ...902..145K
