#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
178;ESO 323-85                         ;G  ;3126.7     ;0.010485    ;3143.18    ;    1;   11.3     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
179;NGC 5088                           ;G  ;1434.8     ;0.004797    ;1438.25    ;    1;   18.62    Mpc ;  -1.17       +1.17    ;T-F     ;2020ApJ...902..145K
180;NGC 5121                           ;G  ;1465.5     ;0.004900    ;1469.10    ;    1;   22.1     Mpc ;                       ;        ;2007ApJ...659.1176M
181;ESO 445-7                          ;G  ;1656.4     ;0.005541    ;1661.00    ;    1;   22       Mpc ;                       ;        ;2007ApJS..173..185G
182;UGC 8839                           ;G  ;957        ;0.003197    ;958.53     ;    1;   21.78    Mpc ;                       ;        ;2016AJ....152...50T
183;ESO 510-26                         ;G  ;2372.2     ;0.007944    ;2381.66    ;    1;   22.4     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
184;NGC 5523                           ;G  ;1044       ;0.003488    ;1045.82    ;    1;   19.41    Mpc ;  -1.31       +1.31    ;T-F     ;2020ApJ...902..145K
185;NGC 5611                           ;G  ;1884       ;0.006304    ;1889.89    ;    1;   25.94    Mpc ;                       ;        ;2016AJ....152...50T
186;UGC 9225                           ;G  ;1253       ;0.004188    ;1255.63    ;    1;   25.94    Mpc ;  -2.68       +2.68    ;T-F     ;2020ApJ...902..145K
187;NGC 5566                           ;G  ;1540       ;0.005150    ;1543.98    ;    1;   31.19    Mpc ;                       ;        ;2016AJ....152...50T
188;ESO 446-53                         ;G  ;1381       ;0.004617    ;1384.20    ;    1;   20.80    Mpc ;  -2.15       +2.15    ;T-F     ;2020ApJ...902..145K
189;UGC 9249                           ;G  ;1363       ;0.004557    ;1366.11    ;    1;   16.60    Mpc ;  -1.34       +1.34    ;T-F     ;2020ApJ...902..145K
190;LEDA 2043836                       ;G  ;1510       ;0.005050    ;1513.82    ;    1;   23.78    Mpc ;  -1.71       +1.71    ;redshift;2015ApJ...809..146B
191;NGC 5729                           ;G  ;1823.0     ;0.006099    ;1828.58    ;    1;   20.51    Mpc ;  -1.38       +1.38    ;T-F     ;2020ApJ...902..145K
192;ESO 400-25                         ;G  ;2175       ;0.007282    ;2182.95    ;    1;   22.08    Mpc ;  -4.27       +4.27    ;T-F     ;2020ApJ...902..145K
193;ESO 450-14                         ;G  ;2197       ;0.007355    ;2205.11    ;    1;   21.78    Mpc ;  -6.57       +6.57    ;T-F     ;2020ApJ...902..145K
194;ESO 514-7                          ;G  ;2283       ;0.007645    ;2291.91    ;    1;   23.55    Mpc ;                       ;        ;2016AJ....152...50T
195;ESO 596-19                         ;G  ;3340       ;0.011204    ;3358.81    ;    1;   27.16    Mpc ;  -6.85       +6.85    ;T-F     ;2020ApJ...902..145K
196;ESO 594-17                         ;G  ;1732.0     ;0.005794    ;1737.03    ;    1;   19.77    Mpc ;  -2.76       +2.76    ;T-F     ;2020ApJ...902..145K
197;MCG-01-42-003                      ;G  ;1570.6     ;0.005253    ;1574.74    ;    1;   20.32    Mpc ;  -2.74       +2.74    ;T-F     ;2020ApJ...902..145K
198;MCG-01-42-004                      ;G  ;1563.1     ;0.005228    ;1567.20    ;    1;   21.98    Mpc ;  -1.88       +1.88    ;T-F     ;2020ApJ...902..145K
199;NGC 6010                           ;G  ;2037       ;0.006818    ;2043.97    ;    1;   21.09    Mpc ;                       ;        ;2016AJ....152...50T
200;IC 1158                            ;G  ;1930.2     ;0.006459    ;1936.45    ;    1;   32.51    Mpc ;  -3.22       +3.22    ;T-F     ;2020ApJ...902..145K
201;Z 52-15                            ;G  ;1512       ;0.005056    ;1515.83    ;    1;   23.8     Mpc ;                       ;redshift;2011MNRAS.413..813C
202;UGC 11030                          ;G  ;1754       ;0.005868    ;1759.16    ;    1;   22.49    Mpc ;  -2.23       +2.23    ;T-F     ;2020ApJ...902..145K
203;NGC 5921                           ;G  ;1480       ;0.004949    ;1483.67    ;    1;   23.9     Mpc ;                       ;redshift;2011MNRAS.413..813C
204;NGC 6106                           ;G  ;1449       ;0.004845    ;1452.52    ;    1;   23.33    Mpc ;  -2.31       +2.31    ;T-F     ;2020ApJ...902..145K
205;UGC 10743                          ;G  ;2571       ;0.008613    ;2582.12    ;    1;   21.98    Mpc ;  -2.57       +2.57    ;T-F     ;2020ApJ...902..145K
206;NGC 6384                           ;G  ;1665       ;0.005569    ;1669.65    ;    1;   21.09    Mpc ;  -2.47       +2.47    ;T-F     ;2020ApJ...902..145K
207;IC 1197                            ;G  ;1370       ;0.004580    ;1373.14    ;    1;   20.70    Mpc ;  -1.30       +1.30    ;T-F     ;2020ApJ...902..145K
208;UGC 11057                          ;G  ;2867       ;0.009609    ;2880.84    ;    1;   27.04    Mpc ;  -2.56       +2.56    ;T-F     ;2020ApJ...902..145K
209;UGC 11059                          ;G  ;2910       ;0.009754    ;2924.26    ;    1;   27.42    Mpc ;  -5.55       +5.55    ;T-F     ;2020ApJ...902..145K
210;NGC 5984                           ;G  ;1105       ;0.003693    ;1107.04    ;    1;   18.37    Mpc ;  -1.16       +1.16    ;T-F     ;2020ApJ...902..145K
211;IC 1151                            ;G  ;2167       ;0.007255    ;2174.89    ;    1;   25.00    Mpc ;  -1.69       +1.69    ;T-F     ;2020ApJ...902..145K
212;UGC 11000                          ;G  ;1370       ;0.004580    ;1373.14    ;    1;   23.23    Mpc ;  -3.14       +3.14    ;T-F     ;2020ApJ...902..145K
213;UGC 11651                          ;G  ;1524       ;0.005097    ;1527.89    ;    1;   22.28    Mpc ;  -1.50       +1.50    ;T-F     ;2020ApJ...902..145K
214;NGC 6339                           ;G  ;2108       ;0.007056    ;2115.46    ;    1;   28.05    Mpc ;  -4.54       +4.54    ;T-F     ;2020ApJ...902..145K
215;ESO 202-35                         ;G  ;1884.2     ;0.006305    ;1890.16    ;    1;   29.38    Mpc ;  -3.30       +3.30    ;T-F     ;2020ApJ...902..145K
216;ESO 157-47                         ;G  ;1651.6     ;0.005524    ;1656.17    ;    1;   21.491   Mpc ;                       ;redshift;2019A&A...631A..38L
217;NGC 1853                           ;G  ;1423.2     ;0.004759    ;1426.59    ;    1;   17.95    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
218;IC 1914                            ;G  ;1027.6     ;0.003434    ;1029.37    ;    1;   23.23    Mpc ;                       ;        ;2016AJ....152...50T
219;ESO 120-21                         ;G  ;1306.3     ;0.004367    ;1309.16    ;    1;   24.10    Mpc ;                       ;        ;2016AJ....152...50T
220;ESO 213-11                         ;G  ;2737.6     ;0.009174    ;2750.21    ;    1;   23.88    Mpc ;  -2.26       +2.26    ;T-F     ;2020ApJ...902..145K
221;NGC 1473                           ;G  ;1393.5     ;0.004659    ;1396.75    ;    1;   22.39    Mpc ;  -4.63       +4.63    ;T-F     ;2020ApJ...902..145K
222;NGC 2788                           ;G  ;1632.0     ;0.005459    ;1636.47    ;    1;   17.38    Mpc ;  -3.05       +3.05    ;T-F     ;2020ApJ...902..145K
223;ESO 60-19                          ;G  ;1443.7     ;0.004827    ;1447.19    ;    1;   16.98    Mpc ;  -2.52       +2.52    ;T-F     ;2020ApJ...902..145K
224;ESO 35-18                          ;G  ;1770.7     ;0.005924    ;1775.96    ;    1;   27.67    Mpc ;  -2.49       +2.49    ;T-F     ;2020ApJ...902..145K
225;ESO 37-5                           ;G  ;1152.9     ;0.003853    ;1155.13    ;    1;   20.14    Mpc ;  -2.99       +2.99    ;T-F     ;2020ApJ...902..145K
226;ESO 15-1                           ;G  ;1644.4     ;0.005500    ;1648.93    ;    1;   14.52    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
227;NGC 360                            ;G  ;2309.1     ;0.007732    ;2318.06    ;    1;   32.06    Mpc ;  -3.03       +3.03    ;T-F     ;2020ApJ...902..145K
228;ESO 19-3                           ;G  ;2020.2     ;0.006762    ;2027.05    ;    1;   28.31    Mpc ;  -5.48       +5.48    ;T-F     ;2020ApJ...902..145K
229;ESO 13-16                          ;G  ;1766.4     ;0.005910    ;1771.63    ;    1;   24.55    Mpc ;                       ;        ;2016AJ....152...50T
230;ESO 79-5                           ;G  ;1712.3     ;0.005728    ;1717.22    ;    1;   18.03    Mpc ;  -3.49       +3.49    ;T-F     ;2020ApJ...902..145K
231;NGC 3620                           ;G  ;1779       ;0.005952    ;1784.31    ;    1;   17.9700  Mpc ;                       ;redshift;2019A&A...631A..38L
232;ESO 149-13                         ;G  ;1499.7     ;0.005015    ;1503.47    ;    1;   20.2485  Mpc ;                       ;redshift;2019A&A...631A..38L
233;ESO 149-1                          ;G  ;1899.3     ;0.006356    ;1905.35    ;    1;   17.70    Mpc ;  -2.39       +2.39    ;T-F     ;2020ApJ...902..145K
234;NGC 7697                           ;G  ;2013.2     ;0.006738    ;2020.01    ;    1;   27.04    Mpc ;  -2.80       +2.80    ;T-F     ;2020ApJ...902..145K
235;NGC 7689                           ;G  ;1965.4     ;0.006578    ;1971.88    ;    1;   22.18    Mpc ;  -3.19       +3.19    ;T-F     ;2020ApJ...902..145K
236;NGC 7690                           ;G  ;1496.7     ;0.005005    ;1500.45    ;    1;   21.78    Mpc ;  -1.67       +1.67    ;T-F     ;2020ApJ...902..145K
237;ESO 48-17                          ;G  ;2913.4     ;0.009766    ;2927.69    ;    1;   34.51    Mpc ;  -6.83       +6.83    ;T-F     ;2020ApJ...902..145K
238;ESO 291-31                         ;G  ;1486.9     ;0.004972    ;1490.61    ;    1;   21.2     Mpc ;                       ;        ;2007ApJ...661..801O
239;IC 5176                            ;G  ;1741.8     ;0.005827    ;1746.89    ;    1;   25.59    Mpc ;  -1.96       +1.96    ;T-F     ;2020ApJ...902..145K
240;ESO 268-46                         ;G  ;2311.3     ;0.007740    ;2320.28    ;    1;   23.77    Mpc ;  -4.28       +4.28    ;T-F     ;2020ApJ...902..145K
241;NGC 5799                           ;G  ;3075       ;0.010310    ;3090.86    ;    1;   24.66    Mpc ;                       ;        ;2016AJ....152...50T
242;ESO 146-14                         ;G  ;1692.1     ;0.005660    ;1696.90    ;    1;   19.05    Mpc ;                       ;        ;2016AJ....152...50T
243;ESO 107-4                          ;G  ;3166       ;0.010617    ;3182.90    ;    1;   24.77    Mpc ;                       ;        ;2016AJ....152...50T
244;ESO 146-2A                         ;G  ;1700.9     ;0.005690    ;1705.75    ;    1;   24.2     Mpc ;                       ;redshift;2006ApJS..165..307M
245;NGC 7205                           ;G  ;1686.1     ;0.005640    ;1690.87    ;    1;   18.20    Mpc ;  -2.13       +2.13    ;T-F     ;2020ApJ...902..145K
246;NGC 7059                           ;G  ;1736.5     ;0.005809    ;1741.56    ;    1;   20.99    Mpc ;  -2.36       +2.36    ;T-F     ;2020ApJ...902..145K
247;NGC 7140                           ;G  ;2968.8     ;0.009952    ;2983.65    ;    1;   23.88    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
248;ESO 288-49                         ;G  ;1964.0     ;0.006573    ;1970.48    ;    1;   21.28    Mpc ;  -4.88       +4.88    ;T-F     ;2020ApJ...902..145K
249;ESO 138-13                         ;G  ;2719.2     ;0.009112    ;2731.64    ;    1;   22       Mpc ;  -4          +4       ;T-F     ;2008ApJ...676..184T
250;NGC 7007                           ;G  ;2962       ;0.009930    ;2976.94    ;    1;   22.91    Mpc ;                       ;        ;2016AJ....152...50T
251;IC 4386                            ;G  ;1871.7     ;0.006263    ;1877.58    ;    1;   26.30    Mpc ;                       ;        ;2016AJ....152...50T
252;IC 4819                            ;G  ;1840.6     ;0.006159    ;1846.29    ;    1;   21.78    Mpc ;  -2.35       +2.35    ;T-F     ;2020ApJ...902..145K
253;ESO 140-6                          ;G  ;2374.7     ;0.007953    ;2384.18    ;    1;   25.35    Mpc ;  -3.65       +3.65    ;T-F     ;2020ApJ...902..145K
254;ESO 182-10                         ;G  ;3548.8     ;0.011908    ;3570.06    ;    1;   29.38    Mpc ;  -5.02       +5.02    ;T-F     ;2020ApJ...902..145K
255;ESO 342-46                         ;G  ;2273.2     ;0.007612    ;2281.88    ;    1;   21.98    Mpc ;  -4.35       +4.35    ;T-F     ;2020ApJ...902..145K
256;ESO 233-43                         ;G  ;3200.1     ;0.010732    ;3217.36    ;    1;   34.99    Mpc ;  -8.98       +8.98    ;T-F     ;2020ApJ...902..145K
257;ESO 340-42                         ;G  ;2664.0     ;0.008926    ;2675.94    ;    1;   20.99    Mpc ;  -4.72       +4.72    ;T-F     ;2020ApJ...902..145K
258;LEDA 3994671                       ;G  ;1574.5     ;0.005266    ;1578.66    ;    1;   20.7     Mpc ;                       ;        ;2011AJ....142...83N
259;AGC 122203                         ;G  ;1542       ;0.005157    ;1545.99    ;    1;   20.6     Mpc ;                       ;        ;2008AJ....135..588S
260;LEDA 5057062                       ;G  ;1660       ;0.005553    ;1664.62    ;    1;   22.1     Mpc ;                       ;        ;2008AJ....135..588S
261;UGC 7178                           ;G  ;1335       ;0.004463    ;1337.99    ;    1;   25.3000  Mpc ;                       ;redshift;2019A&A...631A..38L
262;NGC 406                            ;G  ;1505.7     ;0.005035    ;1509.50    ;    1;   19.50    Mpc ;  -2.28       +2.28    ;T-F     ;2020ApJ...902..145K
263;2MASX J20385728-6346157            ;G  ;1655.5     ;0.005537    ;1660.10    ;    1;   22.8     Mpc ;                       ;        ;2011AJ....142...83N
264;ESO 443-79                         ;G  ;2173       ;0.007275    ;2180.93    ;    1;   23.55    Mpc ;  -2.54       +2.54    ;T-F     ;2020ApJ...902..145K
265;ESO 443-80                         ;G  ;2114.9     ;0.007080    ;2122.41    ;    1;   29.38    Mpc ;  -3.57       +3.57    ;T-F     ;2020ApJ...902..145K
266;ESO 508-34                         ;G  ;1906.8     ;0.006381    ;1912.90    ;    1;   25.59    Mpc ;  -2.88       +2.88    ;T-F     ;2020ApJ...902..145K
267;SDSS J120326.28+132734.2           ;G  ;1304       ;0.004359    ;1306.85    ;    1;   23.6     Mpc ;                       ;        ;2007AJ....133.2569G
268;SDSS J134715.99+131037.8           ;G  ;1093       ;0.003653    ;1095.00    ;    1;   21.2     Mpc ;                       ;        ;2007AJ....133.2569G
269;LEDA 4720565                       ;G  ;1249       ;0.004175    ;1251.61    ;    1;   51.52    Mpc ;  -6.72       +6.72    ;T-F     ;2020ApJ...902..145K
270;LEDA 1453627                       ;G  ;1277       ;0.004269    ;1279.73    ;    1;   23.1     Mpc ;                       ;        ;2007AJ....133.2569G
271;LEDA 5059258                       ;G  ;1188       ;0.003971    ;1190.36    ;    1;   58.34    Mpc ;  -8.14       +8.14    ;T-F     ;2020ApJ...902..145K
272;LEDA 4112990                       ;G  ;1300       ;0.004346    ;1302.83    ;    1;   21.16    Mpc ;  -1.71       +1.71    ;redshift;2015ApJ...809..146B
273;VV 255b                            ;G  ;1776       ;0.005942    ;1781.29    ;    1;   23.99    Mpc ;  -2.16       +2.16    ;T-F     ;2020ApJ...902..145K
274;LEDA 4571034                       ;G  ;1184       ;0.003957    ;1186.35    ;    1;   21.42    Mpc ;  -1.97       +1.97    ;redshift;2015ApJ...809..146B
275;[KSW2012] 12                       ;G  ;1764       ;0.0059      ;1769       ;    1;   24.5     Mpc ;                       ;redshift;2012AJ....143..145K
276;LEDA 4573815                       ;G  ;1558       ;0.005211    ;1562.07    ;    1;   23.36    Mpc ;  -1.50       +1.50    ;redshift;2015ApJ...809..146B
277;LEDA 1743738                       ;G  ;1386       ;0.004634    ;1389.22    ;    1;   22.08    Mpc ;  -1.57       +1.57    ;redshift;2015ApJ...809..146B
278;LEDA 4544488                       ;G  ;2019       ;0.006757    ;2025.84    ;    1;   20.53    Mpc ;  -1.61       +1.61    ;redshift;2015ApJ...809..146B
279;SDSS J154106.34+044510.1           ;G  ;1977       ;0.006616    ;1983.56    ;    1;   20.12    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
280;SDSS J105035.24+660242.5           ;G  ;1128       ;0.00377     ;1130.2     ;    1;   20.31    Mpc ;  -2.54       +2.54    ;redshift;2015ApJ...809..146B
281;SDSS J112559.78+215751.3           ;G  ;1419       ;0.004745    ;1422.37    ;    1;   23.09    Mpc ;  -1.82       +1.82    ;redshift;2015ApJ...809..146B
282;SDSS J112800.19+250411.5           ;G  ;1379       ;0.00461     ;1382.0     ;    1;   22.45    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
283;LEDA 2081790                       ;G  ;1233       ;0.004121    ;1235.55    ;    1;   20.73    Mpc ;  -1.82       +1.82    ;redshift;2015ApJ...809..146B
284;SDSS J145053.09+341150.4           ;G  ;1185       ;0.00396     ;1187.2     ;    1;   20.41    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
285;LEDA 1744110                       ;G  ;1468       ;0.00491     ;1472.0     ;    1;   22.87    Mpc ;  -1.57       +1.57    ;redshift;2015ApJ...809..146B
================================================================================

