#;identifier;typ;radvel;redshift;cz;#dist;distance Q unit;err-err+;method;reference
180;LEDA 41994                         ;G  ;756        ;0.002525    ;756.96     ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
181;Z 71-21                            ;G  ;925        ;0.003090    ;926.43     ;    1;   16.44    Mpc ;                       ;        ;2016AJ....152...50T
182;IC 3562                            ;G  ;2053       ;0.006872    ;2060.08    ;    1;   18.88    Mpc ;                       ;        ;2016AJ....152...50T
183;LEDA 41918                         ;G  ;1072       ;0.003582    ;1073.92    ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
184;UGC 7854                           ;G  ;973        ;0.00325     ;974.3      ;    1;   15.70    Mpc ;                       ;        ;2016AJ....152...50T
185;LEDA 42046                         ;G  ;1447       ;0.00484     ;1451.0     ;    1;   15.70    Mpc ;                       ;        ;2016AJ....152...50T
186;Z 42-192                           ;G  ;1612       ;0.005392    ;1616.36    ;    1;   18.54    Mpc ;  -3.42       +3.42    ;T-F     ;2020ApJ...902..145K
187;UGCA 295                           ;G  ;1383.0     ;0.004624    ;1386.20    ;    1;   18.8     Mpc ;                       ;redshift;2006ApJS..165..307M
188;IC 3735                            ;G  ;1874       ;0.006271    ;1880.00    ;    1;   16.98    Mpc ;                       ;        ;2016AJ....152...50T
189;MCG-01-33-014                      ;G  ;1507.3     ;0.005041    ;1511.11    ;    1;   16.90    Mpc ;                       ;        ;2016AJ....152...50T
190;NGC 4723                           ;G  ;1301.5     ;0.004351    ;1304.34    ;    1;   17.1     Mpc ;                       ;redshift;2006ApJS..165..307M
191;Z 101-1                            ;G  ;984        ;0.003288    ;985.62     ;    1;   16.6     Mpc ;                       ;        ;2007AJ....133.2569G
192;UGCA 312                           ;G  ;1305.7     ;0.004365    ;1308.56    ;    1;   17.4     Mpc ;                       ;redshift;2006ApJS..165..307M
193;UGC 8298                           ;G  ;1157       ;0.003867    ;1159.24    ;    1;   11.80    Mpc ;                       ;        ;2016AJ....152...50T
194;UGC 8285                           ;G  ;898        ;0.003000    ;899.35     ;    1;   13.30    Mpc ;  -1.20       +1.20    ;T-F     ;2020ApJ...902..145K
195;UGCA 330                           ;G  ;1208.0     ;0.004038    ;1210.44    ;    1;   15.3     Mpc ;                       ;redshift;2006ApJS..165..307M
196;UGC 8385                           ;G  ;1129       ;0.003773    ;1131.13    ;    1;   19.86    Mpc ;  -1.97       +1.97    ;T-F     ;2020ApJ...902..145K
197;UGC 8382                           ;G  ;964        ;0.003221    ;965.55     ;    1;   16.61    Mpc ;  -2.36       +2.36    ;redshift;2015ApJ...809..146B
198;NGC 5088                           ;G  ;1434.8     ;0.004797    ;1438.25    ;    1;   18.62    Mpc ;  -1.17       +1.17    ;T-F     ;2020ApJ...902..145K
199;NGC 5101                           ;G  ;1871.0     ;0.006261    ;1876.88    ;    1;   16.22    Mpc ;                       ;        ;2016AJ....152...50T
200;ESO 382-61                         ;G  ;1432.1     ;0.004788    ;1435.54    ;    1;   17.95    Mpc ;                       ;        ;2016AJ....152...50T
201;ESO 324-23                         ;G  ;1439.8     ;0.004814    ;1443.27    ;    1;   18.62    Mpc ;  -1.59       +1.59    ;T-F     ;2020ApJ...902..145K
202;MCG-02-35-010                      ;G  ;1300.1     ;0.004346    ;1302.93    ;    1;   18.2     Mpc ;                       ;redshift;2006ApJS..165..307M
203;ESO 384-2                          ;G  ;1391.2     ;0.004651    ;1394.44    ;    1;   15.28    Mpc ;                       ;        ;2016AJ....152...50T
204;MCG+04-33-037                      ;G  ;2781       ;0.009320    ;2794.02    ;    1;   15.42    Mpc ;  -2.43       +2.43    ;T-F     ;2020ApJ...902..145K
205;NGC 5523                           ;G  ;1044       ;0.003488    ;1045.82    ;    1;   19.41    Mpc ;  -1.31       +1.31    ;T-F     ;2020ApJ...902..145K
206;UGC 8986                           ;G  ;1239       ;0.00414     ;1241.1     ;    1;   19       Mpc ;                       ;        ;2007ApJS..173..185G
207;UGC 9169                           ;G  ;1283       ;0.004289    ;1285.76    ;    1;   10.09    Mpc ;  -0.82       +0.82    ;T-F     ;2020ApJ...902..145K
208;NGC 5556                           ;G  ;1386.1     ;0.004634    ;1389.32    ;    1;   16.07    Mpc ;                       ;        ;2016AJ....152...50T
209;ESO 446-53                         ;G  ;1381       ;0.004617    ;1384.20    ;    1;   20.80    Mpc ;  -2.15       +2.15    ;T-F     ;2020ApJ...902..145K
210;UGC 9249                           ;G  ;1363       ;0.004557    ;1366.11    ;    1;   16.60    Mpc ;  -1.34       +1.34    ;T-F     ;2020ApJ...902..145K
211;NGC 5729                           ;G  ;1823.0     ;0.006099    ;1828.58    ;    1;   20.51    Mpc ;  -1.38       +1.38    ;T-F     ;2020ApJ...902..145K
212;ESO 386-13                         ;G  ;1378.1     ;0.004607    ;1381.28    ;    1;   17.8     Mpc ;                       ;        ;2011AJ....142...83N
213;UGCA 396                           ;G  ;1954.8     ;0.006542    ;1961.21    ;    1;   15.1     Mpc ;                       ;T-F     ;2014MNRAS.444..527S
214;ESO 594-17                         ;G  ;1732.0     ;0.005794    ;1737.03    ;    1;   19.77    Mpc ;  -2.76       +2.76    ;T-F     ;2020ApJ...902..145K
215;MCG-01-42-004                      ;G  ;1563.1     ;0.005228    ;1567.20    ;    1;   21.98    Mpc ;  -1.88       +1.88    ;T-F     ;2020ApJ...902..145K
216;UGC 11131                          ;G  ;1790.0     ;0.005989    ;1795.38    ;    1;   18.79    Mpc ;  -2.37       +2.37    ;T-F     ;2020ApJ...902..145K
217;NGC 6384                           ;G  ;1665       ;0.005569    ;1669.65    ;    1;   21.09    Mpc ;  -2.47       +2.47    ;T-F     ;2020ApJ...902..145K
218;MCG+01-52-001                      ;G  ;4755       ;0.015989    ;4793.31    ;    1;   19.14    Mpc ;  -6.03       +6.03    ;T-F     ;2020ApJ...902..145K
219;UGC 10985                          ;G  ;1796       ;0.006007    ;1801.00    ;    1;   28.3     Mpc ;                       ;redshift;2011MNRAS.413..813C
220;NGC 5984                           ;G  ;1105       ;0.003693    ;1107.04    ;    1;   18.37    Mpc ;  -1.16       +1.16    ;T-F     ;2020ApJ...902..145K
221;UGC 11152                          ;G  ;2731       ;0.009152    ;2743.55    ;    1;   17.78    Mpc ;  -2.56       +2.56    ;T-F     ;2020ApJ...902..145K
222;ESO 202-48                         ;G  ;1368.3     ;0.004575    ;1371.44    ;    1;   17.5     Mpc ;                       ;        ;2011AJ....142...83N
223;ESO 249-27                         ;G  ;1227.4     ;0.004103    ;1229.92    ;    1;   15.63    Mpc ;                       ;        ;2011AJ....142...83N
224;ESO 207-7                          ;G  ;1081.9     ;0.003615    ;1083.86    ;    1;   17.78    Mpc ;  -3.44       +3.44    ;T-F     ;2020ApJ...902..145K
225;ESO 206-17                         ;G  ;1037.4     ;0.003466    ;1039.20    ;    1;   18.88    Mpc ;                       ;        ;2016AJ....152...50T
226;NGC 2101                           ;G  ;1193.5     ;0.003989    ;1195.89    ;    1;   16.1     Mpc ;                       ;redshift;2006ApJS..165..307M
227;ESO 299-6                          ;G  ;1406       ;0.004701    ;1409.31    ;    1;   17       Mpc ;                       ;        ;2007ApJS..173..185G
228;NGC 1853                           ;G  ;1423.2     ;0.004759    ;1426.59    ;    1;   17.95    Mpc ;  -2.58       +2.58    ;T-F     ;2020ApJ...902..145K
229;ESO 120-21                         ;G  ;1306.3     ;0.004367    ;1309.16    ;    1;   24.10    Mpc ;                       ;        ;2016AJ....152...50T
230;NGC 1824                           ;G  ;1245.0     ;0.004162    ;1247.60    ;    1;   11.27    Mpc ;  -1.93       +1.93    ;T-F     ;2020ApJ...902..145K
231;ESO 85-14                          ;G  ;1407       ;0.004704    ;1410.32    ;    1;   16.14    Mpc ;  -2.40       +2.40    ;T-F     ;2020ApJ...902..145K
232;LEDA 15535                         ;G  ;1239.2     ;0.004142    ;1241.77    ;    1;   15.2     Mpc ;                       ;        ;2011AJ....142...83N
233;ESO 59-6                           ;G  ;1346       ;0.004500    ;1349.04    ;    1;   15       Mpc ;                       ;        ;2007ApJS..173..185G
234;NGC 1473                           ;G  ;1393.5     ;0.004659    ;1396.75    ;    1;   22.39    Mpc ;  -4.63       +4.63    ;T-F     ;2020ApJ...902..145K
235;NGC 685                            ;G  ;1363.4     ;0.004558    ;1366.51    ;    1;   15.2     Mpc ;                       ;        ;2007ApJ...659.1176M
236;ESO 264-35                         ;G  ;1089.3     ;0.003640    ;1091.29    ;    1;   18.11    Mpc ;  -5.14       +5.14    ;T-F     ;2020ApJ...902..145K
237;ESO 60-25                          ;G  ;1419       ;0.004745    ;1422.37    ;    1;   15.70    Mpc ;                       ;        ;2016AJ....152...50T
238;NGC 2788                           ;G  ;1632.0     ;0.005459    ;1636.47    ;    1;   17.38    Mpc ;  -3.05       +3.05    ;T-F     ;2020ApJ...902..145K
239;ESO 60-19                          ;G  ;1443.7     ;0.004827    ;1447.19    ;    1;   16.98    Mpc ;  -2.52       +2.52    ;T-F     ;2020ApJ...902..145K
240;ESO 54-21                          ;G  ;1440.3     ;0.004816    ;1443.78    ;    1;   13.18    Mpc ;  -1.90       +1.90    ;T-F     ;2020ApJ...902..145K
241;ESO 114-28                         ;G  ;1450.8     ;0.004851    ;1454.33    ;    1;   18.8     Mpc ;                       ;        ;2011AJ....142...83N
242;ESO 37-5                           ;G  ;1152.9     ;0.003853    ;1155.13    ;    1;   20.14    Mpc ;  -2.99       +2.99    ;T-F     ;2020ApJ...902..145K
243;ESO 52-10                          ;G  ;1382.2     ;0.004621    ;1385.40    ;    1;   19.0     Mpc ;                       ;        ;2007ApJ...661..801O
244;ESO 15-1                           ;G  ;1644.4     ;0.005500    ;1648.93    ;    1;   14.52    Mpc ;  -3.01       +3.01    ;T-F     ;2020ApJ...902..145K
245;ESO 79-5                           ;G  ;1712.3     ;0.005728    ;1717.22    ;    1;   18.03    Mpc ;  -3.49       +3.49    ;T-F     ;2020ApJ...902..145K
246;NGC 3620                           ;G  ;1779       ;0.005952    ;1784.31    ;    1;   17.9700  Mpc ;                       ;redshift;2019A&A...631A..38L
247;ESO 149-1                          ;G  ;1899.3     ;0.006356    ;1905.35    ;    1;   17.70    Mpc ;  -2.39       +2.39    ;T-F     ;2020ApJ...902..145K
248;ESO 41-6                           ;G  ;2569.9     ;0.008609    ;2581.01    ;    1;   17       Mpc ;  -3          +3       ;T-F     ;2008ApJ...676..184T
249;ESO 146-14                         ;G  ;1692.1     ;0.005660    ;1696.90    ;    1;   19.05    Mpc ;                       ;        ;2016AJ....152...50T
250;NGC 7205                           ;G  ;1686.1     ;0.005640    ;1690.87    ;    1;   18.20    Mpc ;  -2.13       +2.13    ;T-F     ;2020ApJ...902..145K
251;IC 4721                            ;G  ;2212.6     ;0.007408    ;2220.83    ;    1;   19.59    Mpc ;  -1.76       +1.76    ;T-F     ;2020ApJ...902..145K
252;ESO 234-43                         ;G  ;2439.3     ;0.008170    ;2449.31    ;    1;   19.50    Mpc ;                       ;        ;2016AJ....152...50T
253;ESO 328-30                         ;G  ;2071.5     ;0.006934    ;2078.71    ;    1;   17.30    Mpc ;                       ;        ;2016AJ....152...50T
254;SINGG HIPASS J0447-57              ;G  ;1233.6     ;0.004123    ;1236.15    ;    1;   16.9     Mpc ;                       ;redshift;2006ApJS..165..307M
255;AGC 226159                         ;G  ;524        ;0.001749    ;524.46     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
256;AGC 226160                         ;G  ;603        ;0.002013    ;603.61     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
257;AGC 226161                         ;G  ;488        ;0.001629    ;488.40     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
258;AGC 226163                         ;G  ;480        ;0.001602    ;480.38     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
259;SDSS J024055.56+264002.5           ;G  ;1482       ;0.004956    ;1485.68    ;    1;   19.7     Mpc ;                       ;        ;2008AJ....135..588S
260;SDSS J124155.33+114003.7           ;G  ;707        ;0.00236     ;707.5      ;    1;   18.100   Mpc ;                       ;        ;2008MNRAS.389.1924F
261;2dFGRS TGS857Z501                  ;G  ;1400.5     ;0.004683    ;1403.79    ;    1;   18.0     Mpc ;                       ;        ;2011AJ....142...83N
262;NGC 406                            ;G  ;1505.7     ;0.005035    ;1509.50    ;    1;   19.50    Mpc ;  -2.28       +2.28    ;T-F     ;2020ApJ...902..145K
263;ESO 443-85                         ;G  ;2392       ;0.00801     ;2401.3     ;    1;   25.23    Mpc ;  -4.88       +4.88    ;T-F     ;2020ApJ...902..145K
264;6dFGS gJ125849.6-045319            ;G  ;1313.3     ;0.004390    ;1316.19    ;    1;    6.50    Mpc ;                       ;redshift;2018MNRAS.479.4136K
265;SDSS J115412.42+122606.3           ;G  ;1004       ;0.003355    ;1005.69    ;    1;    8.20    Mpc ;                       ;redshift;2018MNRAS.479.4136K
266;AGC 226118                         ;G  ;785        ;0.002622    ;786.03     ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
267;SDSS J123508.13+123019.0           ;G  ;1692       ;0.005660    ;1696.80    ;    1;   15.7     Mpc ;                       ;        ;2007AJ....133.2569G
268;SDSS J123856.86+133305.7           ;G  ;982        ;0.003281    ;983.61     ;    1;   16.7     Mpc ;                       ;        ;2007AJ....133.2569G
269;LEDA 4365303                       ;G  ;937        ;0.003130    ;938.47     ;    1;   16.8     Mpc ;                       ;        ;2007AJ....133.2569G
270;LEDA 1805856                       ;G  ;1463       ;0.004892    ;1466.59    ;    1;   19.5     Mpc ;                       ;        ;2008AJ....135..588S
271;LEDA 4324871                       ;G  ;1370       ;0.004580    ;1373.14    ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
272;AGC 226178                         ;G  ;1581       ;0.005288    ;1585.19    ;    1;   16.06    Mpc ;                       ;        ;2008AJ....136..713K
273;LEDA 1365234                       ;G  ;1815       ;0.006073    ;1820.53    ;    1;   15.97    Mpc ;                       ;        ;2008AJ....136..713K
274;SDSS J125603.13+120758.5           ;G  ;1873       ;0.006267    ;1878.89    ;    1;   15.53    Mpc ;                       ;        ;2008AJ....136..713K
275;SDSS J132847.21+105739.7           ;G  ;1092       ;0.003649    ;1094.00    ;    1;   15.60    Mpc ;                       ;        ;2008AJ....136..713K
276;LEDA 1383447                       ;G  ;1178       ;0.003937    ;1180.32    ;    1;   19.79    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
277;LEDA 1405127                       ;G  ;1161       ;0.003880    ;1163.26    ;    1;   19.44    Mpc ;  -1.75       +1.75    ;redshift;2015ApJ...809..146B
278;AGC 227874                         ;G  ;473        ;0.001579    ;473.37     ;    1;   16.12    Mpc ;                       ;        ;2008AJ....136..713K
279;LEDA 2351264                       ;G  ;689        ;0.00230     ;689.5      ;    1;   16.28    Mpc ;  -2.25       +2.25    ;redshift;2015ApJ...809..146B
280;SDSS J112631.38+232646.0           ;G  ;1155       ;0.00386     ;1157.2     ;    1;   18.47    Mpc ;  -1.89       +1.89    ;redshift;2015ApJ...809..146B
281;SDSS J113538.17+311028.6           ;G  ;876        ;0.002926    ;877.28     ;    1;   18.10    Mpc ;  -1.97       +1.97    ;redshift;2015ApJ...809..146B
282;SDSS J133625.55+181753.4           ;G  ;937        ;0.00313     ;938.4      ;    1;   17.22    Mpc ;  -1.97       +1.97    ;redshift;2015ApJ...809..146B
283;SDSS J165254.36+360514.8           ;G  ;1236       ;0.00413     ;1238.1     ;    1;   16.78    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
284;SDSS J170517.35+355222.0           ;G  ;985        ;0.00329     ;986.3      ;    1;   17.75    Mpc ;  -1.79       +1.79    ;redshift;2015ApJ...809..146B
285;LEDA 43508                         ;G  ;1304       ;0.004359    ;1306.85    ;    1;   17.22    Mpc ;                       ;        ;2016AJ....152...50T
================================================================================

